NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_JXC_JEFGOB,PORCENTAJE_JXC_JEFGOB
COMUNA 13,1013000137,10943,5888,53.81
COMUNA 13,1013000138,22267,13375,60.07
COMUNA 13,1013000139,14093,8728,61.93
COMUNA 13,1013000140,6554,3733,56.96
COMUNA 13,1013000141,11183,6844,61.2
COMUNA 13,1013000142,18615,14040,75.42
COMUNA 13,1013000143,13875,8623,62.15
COMUNA 13,1013000144,6205,4016,64.72
COMUNA 13,1013000145,11878,5958,50.16
COMUNA 13,1013000146,8815,4122,46.76
COMUNA 13,1013000147,15906,9752,61.31
COMUNA 14,1014000148,17019,11259,66.16
COMUNA 14,1014000149,19173,12996,67.78
COMUNA 14,1014000150,9660,7543,78.08
COMUNA 14,1014000151,19176,13270,69.2
COMUNA 14,1014000152,15309,10083,65.86
COMUNA 14,1014000153,17557,9804,55.84
COMUNA 14,1014000154,20138,10556,52.42
COMUNA 14,1014000155,18348,9154,49.89
COMUNA 14,1014000156,7557,3321,43.95
COMUNA 14,1014000157,12382,5561,44.91
COMUNA 15,1015000158,15256,6476,42.45
COMUNA 15,1015000159,9402,3848,40.93
COMUNA 15,1015000160,17753,7537,42.45
COMUNA 15,1015000161,15688,6237,39.76
COMUNA 15,1015000162,12683,4519,35.63
COMUNA 15,1015000163,9836,3553,36.12
COMUNA 15,1015000164,8649,3385,39.14
COMUNA 15,1015000165,15840,7006,44.23
COMUNA 15,1015000166,13172,5422,41.16
COMUNA 15,1015000167,10598,4821,45.49
