NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM15,VOTOS_ULD_COM15,PORCENTAJE_ULD_COM15
COMUNA 15,1015000158,20229,433,2.14
COMUNA 15,1015000159,12576,229,1.82
COMUNA 15,1015000160,23273,462,1.99
COMUNA 15,1015000161,21115,446,2.11
COMUNA 15,1015000162,17799,336,1.89
COMUNA 15,1015000163,13958,210,1.5
COMUNA 15,1015000164,11766,225,1.91
COMUNA 15,1015000165,20932,458,2.19
COMUNA 15,1015000166,17805,411,2.31
COMUNA 15,1015000167,13789,299,2.17
