NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_IMPUGNADO_COM4,PORCENTAJE_IMPUGNADO_COM4
COMUNA 04,1004000043,12582,0,0.0
COMUNA 04,1004000044,9944,0,0.0
COMUNA 04,1004000045,7582,0,0.0
COMUNA 04,1004000046,6891,0,0.0
COMUNA 04,1004000047,17659,6,0.03
COMUNA 04,1004000048,13871,1,0.01
COMUNA 04,1004000049,13679,10,0.07
COMUNA 04,1004000050,14169,5,0.04
COMUNA 04,1004000051,10508,8,0.08
COMUNA 04,1004000052,13391,10,0.07
COMUNA 04,1004000053,15057,0,0.0
COMUNA 04,1004000054,15777,0,0.0
COMUNA 04,1004000055,10555,4,0.04
COMUNA 04,1004000056,9956,0,0.0
COMUNA 04,1004000057,20222,5,0.02
