NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 13,1013000144,6206,88,1.42
COMUNA 13,1013000145,11891,122,1.03
COMUNA 13,1013000146,8866,95,1.07
COMUNA 13,1013000147,15980,186,1.16
COMUNA 14,1014000148,17184,258,1.5
COMUNA 14,1014000149,19267,282,1.46
COMUNA 14,1014000150,9692,124,1.28
COMUNA 14,1014000151,19469,194,1.0
COMUNA 14,1014000152,14959,132,0.88
COMUNA 14,1014000153,17576,185,1.05
COMUNA 14,1014000154,20312,175,0.86
COMUNA 14,1014000155,18366,250,1.36
COMUNA 14,1014000156,7567,71,0.94
COMUNA 14,1014000157,12392,106,0.86
COMUNA 15,1015000158,15289,110,0.72
COMUNA 15,1015000159,9436,89,0.94
COMUNA 15,1015000160,17775,126,0.71
COMUNA 15,1015000161,15639,126,0.81
COMUNA 15,1015000162,12689,119,0.94
COMUNA 15,1015000163,9538,73,0.77
COMUNA 15,1015000164,8654,78,0.9
COMUNA 15,1015000165,15832,143,0.9
COMUNA 15,1015000166,13176,117,0.89
COMUNA 15,1015000167,10519,93,0.88
