NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM14,VOTOS_ULD_COM14,PORCENTAJE_ULD_COM14
COMUNA 14,1014000148,17051,520,3.05
COMUNA 14,1014000149,19261,536,2.78
COMUNA 14,1014000150,9680,264,2.73
COMUNA 14,1014000151,19465,599,3.08
COMUNA 14,1014000152,15310,434,2.83
COMUNA 14,1014000153,17560,484,2.76
COMUNA 14,1014000154,20177,588,2.91
COMUNA 14,1014000155,18362,482,2.62
COMUNA 14,1014000156,7548,213,2.82
COMUNA 14,1014000157,12382,349,2.82
