NOMBRE_REGION,CODIGO_CIRCUITO,P03
COMUNA 13,1013000134.0,41.905613619222066
COMUNA 13,1013000135.0,37.94243641231593
COMUNA 13,1013000136.0,40.43920704845815
COMUNA 13,1013000137.0,40.14752990471042
COMUNA 13,1013000138.0,41.21921998470558
COMUNA 13,1013000139.0,40.586743208063545
COMUNA 13,1013000140.0,40.323680351906155
COMUNA 13,1013000141.0,37.48153618906942
COMUNA 13,1013000142.0,43.16686795491143
COMUNA 13,1013000143.0,41.92858617131063
COMUNA 13,1013000144.0,45.46517571884984
COMUNA 13,1013000145.0,40.59254658385093
COMUNA 13,1013000146.0,37.901867679645456
COMUNA 13,1013000147.0,43.39600997506234
COMUNA 14,1014000148.0,41.029064952478606
COMUNA 14,1014000149.0,39.98725156669651
COMUNA 14,1014000150.0,43.188616810059564
COMUNA 14,1014000151.0,40.143884892086334
COMUNA 14,1014000152.0,43.606583072100314
COMUNA 14,1014000153.0,42.28691476590636
COMUNA 14,1014000154.0,41.47417609444171
COMUNA 14,1014000155.0,38.88704910908301
COMUNA 14,1014000156.0,41.44580152671756
COMUNA 14,1014000157.0,39.50437521876094
COMUNA 15,1015000158.0,39.5960029607698
COMUNA 15,1015000159.0,39.55061349693251
COMUNA 15,1015000160.0,40.33806536810829
COMUNA 15,1015000161.0,40.370221999666164
COMUNA 15,1015000162.0,38.560227215093576
COMUNA 15,1015000163.0,37.346769740474876
COMUNA 15,1015000164.0,44.417343293277035
COMUNA 15,1015000165.0,39.19032940743467
COMUNA 15,1015000166.0,40.873005889416206
COMUNA 15,1015000167.0,40.420069005175385
