,geometry,centroide,CODIGO_CIRCUITO,NOMBRE_REGION,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES,ESPERANZA_EDAD_AGRUPADA
397343,"POLYGON ((-6498508.134944407 -4108691.365273739, -6498352.7782657 -4108694.947847733, -6498332.148159069 -4108695.223585406, -6498356.241400079 -4108705.973214373, -6498378.721452743 -4108741.682539147, -6498357.895981431 -4108754.143391004, -6498461.01385559 -4108906.3363344036, -6498463.420307604 -4108907.5940718916, -6498483.258921278 -4108918.88428668, -6498501.50249702 -4108916.1320226337, -6498525.781727647 -4108915.3055175534, -6498550.501631951 -4108924.8462309996, -6498568.394095313 -4108944.0273549124, -6498571.857510968 -4108955.0529057947, -6498574.714437229 -4108966.068669197, -6498573.844614248 -4108982.5090563265, -6498665.298920168 -4108991.908565101, -6498665.581610505 -4108974.2398276003, -6498666.899696398 -4108929.7732639476, -6498669.282387714 -4108856.6814067676, -6498673.392413498 -4108713.5355661022, -6498674.330284491 -4108692.8307940937, -6498593.6780253425 -4108690.9190231194, -6498508.134944407 -4108691.365273739))",POINT (-6498541.784149205 -4108811.761378099),1001000008.0,COMUNA 01,5738,133,2.32,2.7032425204746784
719975,"POLYGON ((-6497791.975114271 -4111654.6748795942, -6497781.677276344 -4111804.462067107, -6497795.6007341845 -4111806.5168095278, -6497910.129598724 -4111816.299767476, -6497909.424987308 -4111822.384091828, -6498051.419742194 -4111822.248349591, -6498067.192590563 -4111822.504007756, -6498072.545463295 -4111678.1222200356, -6498073.37720835 -4111664.1156436233, -6498053.377681139 -4111662.572358661, -6497933.282711331 -4111659.405984135, -6497918.126534841 -4111658.5505807274, -6497892.657503203 -4111657.5278543504, -6497820.487115336 -4111655.1376552116, -6497791.975114271 -4111654.6748795942))",POINT (-6497929.877632846 -4111738.3663990586),1001000015.0,COMUNA 01,5819,259,4.45,2.4489528795811517
431757,"POLYGON ((-6499479.972525728 -4108919.7132381024, -6499472.5926114675 -4109040.2607320664, -6499472.107382891 -4109070.7243754864, -6499499.380653441 -4109072.3815923743, -6499628.51758272 -4109077.503429931, -6499631.331442393 -4109053.1714386023, -6499641.548258845 -4108944.8576847785, -6499644.206928762 -4108930.2742336085, -6499626.628218499 -4108929.3825154165, -6499490.26354793 -4108921.0974826827, -6499479.972525728 -4108919.7132381024))",POINT (-6499555.476438238 -4108999.3678998323),1001000007.0,COMUNA 01,5335,106,1.99,2.6061912563594034
451376,"POLYGON ((-6496995.227687296 -4109289.6452436, -6496999.122547816 -4109273.8633117913, -6496988.254598645 -4109270.6390126715, -6496989.536488857 -4109266.393838421, -6496970.823313631 -4109260.6039200565, -6496522.285535927 -4109011.340701623, -6496440.517591391 -4109003.3008355713, -6496348.390065089 -4108998.138083077, -6496315.112034263 -4108992.7184457025, -6496307.853891382 -4108991.3808821123, -6496296.8185428465 -4108998.5134421736, -6496285.90169818 -4108998.3348594247, -6496270.083537253 -4109001.123193537, -6496255.995941144 -4109009.424628846, -6496250.51775766 -4109010.5538419154, -6496214.428447528 -4109028.8554214, -6496194.305490108 -4109035.229750766, -6496158.990527209 -4109043.183632384, -6496139.562970138 -4109044.084427756, -6496121.945005909 -4109045.6242443956, -6496106.126745664 -4109048.412354344, -6496087.167249415 -4109057.8526798165, -6496069.430599511 -4109066.7035826915, -6496066.816740689 -4109078.23987384, -6496058.226920575 -4109084.1934487163, -6496047.501137608 -4109109.613724771, -6496024.872835659 -4109120.8221813636, -6496012.72310864 -4109121.841987669, -6496001.796266535 -4109122.2723884718, -6495996.248759603 -4109127.6663553272, -6495953.398148211 -4109151.3413511915, -6495931.326693088 -4109165.605938575, -6495874.209520543 -4109208.548705503, -6495859.326782145 -4109228.41599594, -6495831.60839951 -4109254.167156303, -6495817.740484946 -4109286.2398587745, -6495805.761333386 -4109314.0775395716, -6495785.947032774 -4109338.739541088, -6495759.272827975 -4109374.8684084807, -6495746.437049278 -4109380.752226454, -6495726.2834983375 -4109388.9537206697, -6495710.823471158 -4109406.983313521, -6495689.676854476 -4109438.9368194803, -6495666.163523223 -4109467.1948377406, -6495640.94947601 -4109488.111570012, -6495621.820333028 -4109507.9092988037, -6495598.475242391 -4109525.809443197, -6495581.334089276 -4109535.279144765, -6495567.294918927 -4109540.5336195934, -6495558.018630933 -4109551.3513771542, -6495548.195312342 -4109558.5034385878, -6495528.290745688 -4109588.649092988, -6495517.214654759 -4109598.2183844126, -6495494.784632301 -4109634.4171472313, -6495477.524166919 -4109651.198295017, -6495463.266507542 -4109669.8571637906, -6495442.39655628 -4109684.750610328, -6495420.3432725165 -4109697.7962060263, -6495388.238062508 -4109732.0076276073, -6495368.47174882 -4109753.623241873, -6495354.899739517 -4109767.4177041445, -6495338.37448082 -4109776.2878882405, -6495315.853403694 -4109780.793189195, -6495304.786876998 -4109789.7531180335, -6495276.618249828 -4109805.7452738187, -6495258.770535867 -4109821.297732654, -6495239.1131075295 -4109836.210937685, -6495219.018011923 -4109840.755983979, -6495215.279444047 -4109846.7891270854, -6495204.31214621 -4109849.6559646656, -6495188.244117338 -4109867.6755309063, -6495174.134789515 -4109877.194779435, -6495165.3948079 -4109892.2876330107, -6495160.850863835 -4109910.4969290006, -6495158.822515837 -4109923.2624241146, -6495150.828179331 -4109929.8349976507, -6495148.789875385 -4109943.209820656, -6495141.252945054 -4109958.932020972, -6495136.321097138 -4109963.7266055555, -6495138.67767021 -4109968.0317196697, -6495131.75719085 -4109983.1546226144, -6495131.3495889455 -4110008.1363861957, -6495130.514389385 -4110022.140583212, -6495120.600912402 -4110034.776360066, -6495119.2685172325 -4110042.0681475275, -6495125.860968535 -4110047.052521513, -6495126.288558057 -4110058.030166921, -6495127.342577641 -4110067.79917991, -6495120.362363346 -4110086.5781020266, -6495112.536948813 -4110119.9706821386, -6495117.6777209025 -4110139.55876565, -6495110.1406072555 -4110155.281210189, -6495106.620632968 -4110185.0879755355, -6495107.634870139 -4110197.294387137, -6495099.938600208 -4110222.7660726407, -6495100.386052925 -4110232.5252400464, -6495092.719572978 -4110256.1690224456, -6495085.510444534 -4110288.9627372553, -6495082.905205704 -4110299.890665045, -6495069.38190718 -4110310.6387673137, -6495055.719331997 -4110329.917465068, -6495056.683789008 -4110345.1706837937, -6495063.783483162 -4110356.2585267685, -6495061.526162776 -4110383.0391215016, -6495065.722369142 -4110386.1557227727, -6495064.638387914 -4110415.39370571, -6495061.277333428 -4110435.451772515, -6495059.576818061 -4110465.289225264, -6495056.971507683 -4110476.21731405, -6495054.077727229 -4110504.816210727, -6495033.135763701 -4110561.1550399186, -6495018.786643186 -4110585.2988498397, -6495003.313862219 -4110603.938606519, -6494958.536328475 -4110633.6760529317, -6494949.258538429 -4110644.4942927626, -6494927.71979003 -4110663.034046988, -6494913.6391006 -4110670.725549021, -6494891.503622357 -4110688.645923978, -6494824.719270215 -4110728.3818837283, -6494781.511466963 -4110773.3827189184, -6494726.191551338 -4110816.964628032, -6494691.5549775185 -4110857.230743903, -6494658.857556056 -4110890.214634721, -6494642.2403753875 -4110904.5688143433, -6494624.370086803 -4110921.340389549, -6494602.89011708 -4110936.2237698636, -6494570.738953839 -4110972.873804924, -6494542.556359559 -4110989.474996613, -6494522.686416659 -4111017.18501165, -6494517.564264172 -4111033.55767586, -6494475.267862284 -4111096.8595357845, -6494474.738920188 -4111129.156108038, -6494469.853968288 -4111168.0856830524, -6494457.559961037 -4111214.8169369446, -6494429.292027307 -4111310.6573169013, -6494420.340235856 -4111338.548414037, -6494404.690785409 -4111441.9130018014, -6494377.148231197 -4111530.452458954, -6494372.46987205 -4111593.7691425257, -6494373.213739559 -4111622.4307963653, -6494365.265057368 -4111663.140025451, -6494362.429046046 -4111688.0852556587, -6494362.336534318 -4111730.7533521485, -6494362.251372628 -4111809.995960659, -6494362.46847554 -4111833.7728643212, -6494377.861560331 -4111857.191242267, -6494392.727959761 -4111875.724337108, -6494423.813979983 -4111904.2788601033, -6494435.140499656 -4111916.657672257, -6494440.490462904 -4111923.451477117, -6494459.01688572 -4111940.8259491124, -6494470.533149671 -4111941.6259030323, -6494499.512359302 -4111950.6390107693, -6494624.65087401 -4111942.343743426, -6494645.2668345915 -4111943.2938105497, -6494669.492756264 -4111946.1321875453, -6494682.16251213 -4111950.608446541, -6494703.961877949 -4111953.4066845225, -6494708.8250148175 -4111952.877392462, -6494729.947967233 -4111959.9314718223, -6494745.591191151 -4111968.114230044, -6494794.460529503 -4111985.3794406867, -6494825.886659082 -4111993.2129569803, -6494850.609811189 -4112002.7645632657, -6494871.22591551 -4112003.714222889, -6494889.84279557 -4112015.603360575, -6494975.957215056 -4112018.852077174, -6494997.995707324 -4112007.023709946, -6495024.628574158 -4112011.1201765942, -6495033.251053014 -4112003.3377055204, -6495041.764049664 -4112002.2588338326, -6495047.313458765 -4111996.86404305, -6495081.832766898 -4112001.0903274342, -6495091.250632216 -4112018.923396552, -6495108.177156503 -4112022.859751677, -6495123.950076372 -4112023.119577762, -6495162.338152431 -4112013.388929712, -6495171.537357055 -4112007.4445949676, -6495213.734265132 -4111987.413608622, -6495228.512562439 -4111974.246116567, -6495238.905115468 -4111969.540552956, -6495249.983832118 -4111959.9696319783, -6495260.366423583 -4111955.873470099, -6495271.286079864 -4111956.053200058, -6495283.488602819 -4111951.9869716293, -6495295.054656072 -4111949.738996558, -6495306.103494691 -4111941.996281979, -6495317.609913187 -4111943.4047808168, -6495332.179378747 -4111943.03492689, -6495345.525614565 -4111943.2545088637, -6495363.695225842 -4111945.3821619437, -6495371.730648581 -4111936.3706533043, -6495387.602796245 -4111930.535943839, -6495399.596674714 -4111939.2673255545, -6495406.110880119 -4111949.1277400157, -6495422.420847768 -4111953.6630344656, -6495448.397481164 -4111960.795582259, -6495476.104740996 -4111973.442758014, -6495488.764951288 -4111978.5275434153, -6495498.352216346 -4111986.0001304583, -6495516.621195213 -4111982.0333577585, -6495521.434689028 -4111984.5508034592, -6495522.897308377 -4112006.519816574, -6495531.18198831 -4112019.457238201, -6495551.579887301 -4112033.812912612, -6495557.388386212 -4112049.757580183, -6495554.664043727 -4112068.0003895704, -6495558.662521384 -4112083.3057717574, -6495567.474562899 -4112101.1286272183, -6495584.859215103 -4112114.2156529697, -6495531.562742357 -4112107.853500959, -6495508.85835435 -4112123.3296229606, -6495496.754992769 -4112121.301892653, -6495484.780703053 -4112111.3516151095, -6495469.485212735 -4112119.024800274, -6495478.247493581 -4112139.8949129283, -6495490.818537362 -4112150.4646242503, -6495503.49880561 -4112154.330623387, -6495505.736824064 -4112165.949649501, -6495489.794899272 -4112176.050640472, -6495488.402871382 -4112187.0004208544, -6495520.436768715 -4112194.8421315933, -6495530.43119999 -4112177.3282165346, -6495537.721048162 -4112176.838439865, -6495551.34546718 -4112159.9937848076, -6495573.115739411 -4112164.6186851803, -6495569.317000675 -4112174.3097332185, -6495553.424741216 -4112181.363676175, -6495537.29424788 -4112203.043924827, -6495533.455761196 -4112215.172716531, -6495542.396888755 -4112225.073184811, -6495555.097109243 -4112227.7202902925, -6495566.405375203 -4112241.3172269296, -6495566.902873342 -4112248.0309582255, -6495585.102797612 -4112248.330027079, -6495617.594787504 -4112265.322986292, -6495630.334756742 -4112265.5322808055, -6495641.841556097 -4112266.940498529, -6495655.864295118 -4112262.9036553144, -6495659.613397094 -4112256.259669275, -6495661.572258327 -4112247.757492774, -6495672.373195481 -4112255.2500477987, -6495665.461830181 -4112269.7668634118, -6495655.705584568 -4112272.6546053467, -6495706.100255186 -4112308.2293621334, -6495739.44715365 -4112309.9960995554, -6495777.875408004 -4112297.8253605813, -6495792.546486368 -4112328.546163413, -6495819.2795700915 -4112326.5465061814, -6495835.538547144 -4112296.942925867, -6495883.7624994 -4112279.4461851227, -6495946.222002585 -4112319.4850123897, -6495965.563492631 -4112286.883812188, -6496065.48547388 -4112299.4946355503, -6496076.890441595 -4112269.8112099743, -6496093.316894532 -4112229.8470010413, -6496109.176143278 -4112187.4352389304, -6496138.368708379 -4112108.6666275505, -6496160.70960841 -4112040.758790172, -6496186.848565395 -4112075.3237499953, -6496198.1179102305 -4112091.3575913566, -6496203.52838037 -4112094.4941355158, -6496211.335817938 -4112099.498695075, -6496238.061948929 -4112135.292515385, -6496300.476291719 -4112215.5613298193, -6496348.031138826 -4112276.68966761, -6496359.917460151 -4112292.124133928, -6496468.089404864 -4112432.273487353, -6496481.776333292 -4112448.956702118, -6496525.781903962 -4112504.5410355013, -6496531.533762085 -4112449.1606128253, -6496567.770074466 -4112085.2132114097, -6496577.861497741 -4112061.604208173, -6496699.064699416 -4112071.5089086043, -6496789.34828926 -4112079.6884629526, -6496817.831668207 -4112081.982133305, -6496772.602466119 -4112514.6694825278, -6496751.358745179 -4112514.932247417, -6496584.081821827 -4112576.818685395, -6496642.9398350995 -4112652.1537160818, -6496766.626566321 -4112809.018147468, -6496781.468624058 -4112829.37819483, -6496802.875984161 -4112856.5513643534, -6496817.141042248 -4112875.073139328, -6496822.473199452 -4112883.085381822, -6496850.993635819 -4112920.738458811, -6496938.923805126 -4113037.3945027646, -6496949.61800474 -4113051.5906748716, -6496990.267654942 -4113052.2536718627, -6496997.217252008 -4113035.2970785904, -6497021.722012837 -4113021.065317649, -6497068.284829282 -4112993.781076073, -6497128.401655091 -4112953.9152267533, -6497170.1103053875 -4112926.5516100065, -6497215.508162227 -4112896.199825396, -6497249.444220974 -4112899.191040187, -6497255.934147475 -4112873.082546286, -6497258.1771352645 -4112846.9049534258, -6497266.299415905 -4112719.6252661385, -6497281.557148138 -4112563.8112369743, -6497294.846885348 -4112417.1113781882, -6497310.15282266 -4112258.254233748, -6497324.146643338 -4112105.473825736, -6497244.782202951 -4112097.4763638075, -6497242.962221163 -4112097.446729768, -6497154.57671879 -4112084.4250311665, -6497064.3124111835 -4112075.02955916, -6497062.4924344905 -4112074.9998959154, -6497039.459086336 -4112073.4052802194, -6496955.848535122 -4112065.336578642, -6496926.047543718 -4112031.9328489345, -6496820.627378461 -4112021.678660786, -6496799.424012801 -4112019.5038404316, -6496706.117482884 -4112010.665469173, -6496632.810968158 -4112003.3722545076, -6496587.987666038 -4111998.3727974044, -6496391.748178516 -4111975.657665092, -6496362.68818098 -4111971.5247548847, -6496346.338237361 -4111969.4284932637, -6496344.518283592 -4111969.3987139626, -6496240.609326894 -4111940.8764273054, -6496254.555069011 -4111866.7361748754, -6496431.288142298 -4111258.238972874, -6496435.672678196 -4111249.7770593986, -6496441.260557898 -4111241.9443704323, -6496446.848429747 -4111234.111683793, -6496452.465914306 -4111224.4508571974, -6496459.2768647615 -4111216.028632603, -6496464.894329345 -4111206.3678144347, -6496469.338054157 -4111194.24964934, -6496473.194904332 -4111180.9028207753, -6496474.008830252 -4111168.1157980324, -6496473.530560604 -4111160.1839726907, -6496471.829203854 -4111152.8416951727, -6496470.26606185 -4111136.9681539107, -6496468.604199776 -4111127.1883886107, -6496466.394969371 -4111113.742464495, -6496469.595826047 -4111103.4326842516, -6496696.485456746 -4110318.4274132294, -6496709.336297031 -4110274.144246982, -6496930.328511861 -4109514.082055928, -6496940.574181717 -4109480.729330258, -6496959.852299434 -4109414.004365493, -6496965.655369518 -4109392.768376072, -6496995.227687296 -4109289.6452436))",POINT (-6495867.27822935 -4110897.436877702),1001000003.0,COMUNA 01,3377,31,0.92,2.2015338730293994
373730,"POLYGON ((-6502642.636121759 -4109218.1385206953, -6502686.964825369 -4109370.590154941, -6502801.713069344 -4109365.0877296845, -6502839.943420616 -4109364.4719226253, -6502785.92737767 -4109210.6492198166, -6502642.636121759 -4109218.1385206953))",POINT (-6502739.151836493 -4109291.5126708173),1002000029.0,COMUNA 02,8625,310,3.59,2.3266850068775793
384722,"POLYGON ((-6499628.51758272 -4109077.503429931, -6499625.655227062 -4109104.8818513695, -6499618.04394689 -4109240.0542371515, -6499618.388635995 -4109256.514635207, -6499642.003909984 -4109259.331665727, -6499755.354325578 -4109265.4175082934, -6499766.335640649 -4109108.968640646, -6499769.187968774 -4109082.1994369016, -6499751.002500447 -4109081.298161199, -6499628.51758272 -4109077.503429931))",POINT (-6499692.337736761 -4109170.3363062744),1002000026.0,COMUNA 02,12262,190,1.55,2.653209286445886
356583,"POLYGON ((-6500972.388256602 -4108417.0705790804, -6501054.245118578 -4108573.1625974635, -6501172.863688675 -4108514.1113598864, -6501113.348804569 -4108364.470750231, -6501098.147857724 -4108328.2745111613, -6500972.388256602 -4108417.0705790804))",POINT (-6501074.849247078 -4108455.421805008),1002000024.0,COMUNA 02,9718,222,2.28,2.511721802552748
396438,"POLYGON ((-6501320.21406175 -4108902.8235019576, -6501373.064325646 -4109090.758385364, -6501510.093167548 -4109018.586282092, -6501523.570623714 -4109010.2684495193, -6501488.542823876 -4108923.173300019, -6501460.515202012 -4108853.863154692, -6501448.895775832 -4108859.77265425, -6501320.21406175 -4108902.8235019576))",POINT (-6501418.492597288 -4108967.5824247827),1002000028.0,COMUNA 02,13232,488,3.69,2.349171270718232
323782,"POLYGON ((-6500056.82706971 -4107624.8803323945, -6500025.464065628 -4107651.7988424576, -6500020.5449341005 -4107655.9855159083, -6500015.625798943 -4107660.17218861, -6500010.090558574 -4107664.9583444963, -6500005.768173591 -4107669.763932077, -6500002.052215195 -4107674.579236376, -6499998.326581099 -4107680.003742071, -6499994.600943372 -4107685.4282489843, -6499991.472060241 -4107691.4716755184, -6499988.949605155 -4107697.524821532, -6499986.417474064 -4107704.1871720613, -6499984.501445383 -4107710.250041041, -6499983.191847017 -4107716.322630471, -6499981.872573633 -4107723.004425896, -6499981.169405303 -4107729.0867394926, -6499984.737298944 -4107771.7990742815, -6499986.988920123 -4107782.8036506968, -6500003.014482766 -4107804.9974590484, -6500013.062771478 -4107821.6112523335, -6500020.656317598 -4107840.013826345, -6500030.069208353 -4107858.4455722603, -6500038.346613544 -4107871.9842213453, -6500046.7884355225 -4107875.166284565, -6500050.965832512 -4107879.4987657173, -6500046.0079260515 -4107886.1223782836, -6500042.320922091 -4107889.110149444, -6500039.788775321 -4107895.772623787, -6500041.443699181 -4107906.158383716, -6500040.047067077 -4107917.7140051187, -6500037.4762278125 -4107926.8133512386, -6500031.863490775 -4107936.473341052, -6500033.441041416 -4107951.7328609275, -6500036.4704270875 -4107990.1717853164, -6500031.551147728 -4107994.3585831868, -6500047.057674884 -4108011.0600699806, -6500140.165461756 -4108107.004517816, -6500168.5165710375 -4108078.817655878, -6500204.067651801 -4108055.6210374315, -6500209.322808836 -4108068.502050998, -6500263.935882282 -4108182.1112685916, -6500278.259071022 -4108196.965635578, -6500393.50893576 -4108120.808086465, -6500408.824743269 -4108111.3028848157, -6500447.436676552 -4108086.3262191387, -6500533.526491147 -4108012.7486761976, -6500522.8708104985 -4107996.125351132, -6500508.027899352 -4107975.778905061, -6500435.662412926 -4107872.248395584, -6500499.12913363 -4107809.888737914, -6500473.899881688 -4107794.2515211343, -6500365.725678771 -4107730.367553629, -6500335.683946814 -4107712.2157567213, -6500314.651896346 -4107699.692230796, -6500205.882767976 -4107635.1884098155, -6500197.470059283 -4107630.1789424485, -6500136.781361959 -4107593.8650426646, -6500089.17076023 -4107612.6019431916, -6500056.82706971 -4107624.8803323945))",POINT (-6500240.100498364 -4107885.8317218916),1002000021.0,COMUNA 02,8085,115,1.42,2.7323021268633445
377732,"POLYGON ((-6500155.722392113 -4108541.1395201404, -6500260.607557692 -4108659.8241853626, -6500332.070265731 -4108590.885750483, -6500378.8965128735 -4108545.3199898424, -6500269.717490814 -4108429.6159026492, -6500182.822980615 -4108515.369144931, -6500155.722392113 -4108541.1395201404))",POINT (-6500266.710206358 -4108544.34666452),1002000025.0,COMUNA 02,9396,175,1.86,2.561945636623748
