NOMBRE_REGION,CODIGO_CIRCUITO,P03
COMUNA 13,1013000134.0,41.564409826243256
COMUNA 13,1013000135.0,40.329073033707864
COMUNA 13,1013000136.0,41.207759604412324
COMUNA 13,1013000137.0,40.4596517506085
COMUNA 13,1013000138.0,40.96120949283219
COMUNA 13,1013000139.0,40.47456529781724
COMUNA 13,1013000140.0,40.99463414634146
COMUNA 13,1013000141.0,40.17357001972387
COMUNA 13,1013000142.0,43.039847641371225
COMUNA 13,1013000143.0,40.99912663755458
COMUNA 13,1013000144.0,43.71634615384615
COMUNA 13,1013000145.0,41.245318352059925
COMUNA 13,1013000146.0,40.232469188270294
COMUNA 13,1013000147.0,40.68476727785614
COMUNA 14,1014000148.0,40.54678121041908
COMUNA 14,1014000149.0,40.713035740768206
COMUNA 14,1014000150.0,41.586501901140686
COMUNA 14,1014000151.0,39.770156046814044
COMUNA 14,1014000152.0,42.08490566037736
COMUNA 14,1014000153.0,40.26600985221675
COMUNA 14,1014000154.0,39.12109623964309
COMUNA 14,1014000155.0,39.03928530523422
COMUNA 14,1014000156.0,39.82049947970864
COMUNA 14,1014000157.0,38.3252579632122
COMUNA 15,1015000158.0,39.94412408033406
COMUNA 15,1015000159.0,40.5863539445629
COMUNA 15,1015000160.0,40.89102564102564
COMUNA 15,1015000161.0,40.862581244196846
COMUNA 15,1015000162.0,40.14996363636364
COMUNA 15,1015000163.0,39.44553335846212
COMUNA 15,1015000164.0,40.187187187187185
COMUNA 15,1015000165.0,40.45472863178421
COMUNA 15,1015000166.0,41.27726750861079
COMUNA 15,1015000167.0,41.26959215281363
