NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_ULD_JEFGOB,PORCENTAJE_ULD_JEFGOB
COMUNA 13,1013000143,13875,2,0.01
COMUNA 13,1013000144,6205,0,0.0
COMUNA 13,1013000145,11878,9,0.08
COMUNA 13,1013000146,8815,0,0.0
COMUNA 13,1013000147,15906,7,0.04
COMUNA 14,1014000148,17019,0,0.0
COMUNA 14,1014000149,19173,0,0.0
COMUNA 14,1014000150,9660,5,0.05
COMUNA 14,1014000151,19176,8,0.04
COMUNA 14,1014000152,15309,15,0.1
COMUNA 14,1014000153,17557,22,0.13
COMUNA 14,1014000154,20138,17,0.08
COMUNA 14,1014000155,18348,14,0.08
COMUNA 14,1014000156,7557,0,0.0
COMUNA 14,1014000157,12382,9,0.07
COMUNA 15,1015000158,15256,0,0.0
COMUNA 15,1015000159,9402,8,0.09
COMUNA 15,1015000160,17753,17,0.1
COMUNA 15,1015000161,15688,11,0.07
COMUNA 15,1015000162,12683,9,0.07
COMUNA 15,1015000163,9836,5,0.05
COMUNA 15,1015000164,8649,9,0.1
COMUNA 15,1015000165,15840,46,0.29
COMUNA 15,1015000166,13172,0,0.0
COMUNA 15,1015000167,10598,0,0.0
