NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_FDT_COM7,PORCENTAJE_FDT_COM7
COMUNA 07,1007000075,8194,2623,32.01
COMUNA 07,1007000076,13107,4234,32.3
COMUNA 07,1007000077,10239,3822,37.33
COMUNA 07,1007000078,8193,3076,37.54
COMUNA 07,1007000079,10072,3092,30.7
COMUNA 07,1007000080,10600,3185,30.05
COMUNA 07,1007000081,9824,2867,29.18
COMUNA 07,1007000082,11678,3746,32.08
COMUNA 07,1007000083,16300,4053,24.87
COMUNA 07,1007000084,8775,2948,33.6
COMUNA 07,1007000085,6062,1729,28.52
COMUNA 07,1007000086,21655,10855,50.13
