NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,VOTOS_CF_JEFGOB,VOTOS_FDT_JEFGOB,VOTOS_JXC_JEFGOB,VOTOS_ULD_JEFGOB,VOTOS_NULO_JEFGOB,VOTOS_RECURRIDO_JEFGOB,VOTOS_IMPUGNADO_JEFGOB,VOTOS_BLANCO_JEFGOB,VOTOS_OTROS_JEFGOB
COMUNA 07,1007000079,10045,438,717,3089,4548,0,65,3,37,930,218
COMUNA 07,1007000080,10619,448,940,3248,4684,14,97,2,5,893,288
COMUNA 07,1007000081,9827,405,790,2930,4559,0,100,13,0,791,239
COMUNA 07,1007000082,11642,471,900,3791,5087,0,88,6,3,983,313
COMUNA 07,1007000083,16254,577,1300,4128,8431,0,140,7,1,1296,374
COMUNA 07,1007000084,8807,371,786,3016,3610,0,95,0,0,724,205
COMUNA 07,1007000085,5944,223,535,1773,2698,2,70,1,0,486,156
COMUNA 07,1007000086,21689,932,1279,10970,5538,12,201,4,5,2337,411
COMUNA 08,1008000087,23404,838,1226,12764,5603,16,219,37,32,2321,348
COMUNA 08,1008000088,14138,520,1121,5353,5477,11,178,2,1,1205,270
COMUNA 08,1008000089,35863,1401,2463,15982,11700,35,358,5,1,3333,585
COMUNA 08,1008000090,33991,1255,2291,16019,10559,22,340,8,46,2852,599
COMUNA 09,1009000091,6700,233,365,3645,1463,11,81,1,0,811,90
COMUNA 09,1009000092,10715,483,953,3823,3963,19,120,11,28,1072,243
COMUNA 09,1009000093,6641,252,551,2647,2396,7,76,1,0,565,146
COMUNA 09,1009000094,9240,443,730,3803,3209,7,113,3,0,718,214
COMUNA 09,1009000095,15016,615,1314,5546,5827,0,178,0,0,1208,328
COMUNA 09,1009000096,8477,346,742,3386,2907,10,71,0,0,831,184
COMUNA 09,1009000097,10973,403,854,4616,3771,9,98,1,2,1029,190
COMUNA 09,1009000098,15977,574,1600,5647,6533,10,116,6,1,1163,327
COMUNA 09,1009000099,8715,298,885,2748,3831,12,80,3,0,658,200
COMUNA 09,1009000100,11066,403,1010,3543,4811,10,77,2,2,970,238
COMUNA 09,1009000101,13389,516,1139,4481,5733,0,139,2,33,1044,302
COMUNA 10,1010000102,10471,381,986,3137,4669,0,107,2,0,937,252
COMUNA 10,1010000103,10287,396,976,3197,4440,0,127,2,1,897,251
COMUNA 10,1010000104,10034,406,966,3424,4039,21,118,0,0,808,252
COMUNA 10,1010000105,14914,636,1358,4761,6428,15,140,17,11,1200,348
COMUNA 10,1010000106,9296,383,887,3030,3791,0,113,33,2,810,247
COMUNA 10,1010000107,15373,642,1363,5203,6483,4,151,6,0,1146,375
COMUNA 10,1010000108,9722,475,827,3308,3925,0,98,4,24,803,258
COMUNA 10,1010000109,15163,726,1246,5019,6263,0,141,6,2,1362,398
COMUNA 10,1010000110,8073,332,712,2994,3087,5,77,5,0,635,226
COMUNA 10,1010000111,8959,398,740,3037,3581,9,96,4,2,858,234
COMUNA 10,1010000112,6584,287,551,2307,2586,3,75,3,0,594,178
COMUNA 11,1011000113,10224,457,924,3376,4234,18,94,5,0,867,249
COMUNA 11,1011000114,13502,555,1172,4504,5645,0,130,2,1,1120,373
COMUNA 11,1011000115,9362,445,741,3398,3647,14,97,2,0,775,243
COMUNA 11,1011000116,13529,610,1100,4846,5416,16,135,4,1,1085,316
COMUNA 11,1011000117,14767,633,1245,4700,6483,13,169,3,0,1113,408
COMUNA 11,1011000118,11627,466,960,3268,5698,11,98,2,0,830,294
COMUNA 11,1011000119,14657,548,1319,4287,6923,8,132,5,0,1058,377
COMUNA 11,1011000120,15193,590,1354,4049,7494,21,161,1,4,1178,341
COMUNA 11,1011000121,12430,436,1146,3554,5829,25,137,2,1,1032,268
COMUNA 11,1011000122,10544,283,745,2208,6225,28,113,1,0,754,187
COMUNA 11,1011000123,11539,414,1048,3163,5514,16,121,8,13,966,276
COMUNA 12,1012000124,13337,537,1063,4527,5584,0,132,2,0,1191,301
