NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM10,VOTOS_FDT_COM10,PORCENTAJE_FDT_COM10
COMUNA 10,1010000102,10499,3075,29.29
COMUNA 10,1010000103,10303,3155,30.62
COMUNA 10,1010000104,10041,3381,33.67
COMUNA 10,1010000105,14911,4695,31.49
COMUNA 10,1010000106,9289,3002,32.32
COMUNA 10,1010000107,15420,5132,33.28
COMUNA 10,1010000108,9718,3232,33.26
COMUNA 10,1010000109,15178,4946,32.59
COMUNA 10,1010000110,8078,2950,36.52
COMUNA 10,1010000111,8912,2989,33.54
COMUNA 10,1010000112,6586,2273,34.51
