NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_RECURRIDO_JEFGOB,PORCENTAJE_RECURRIDO_JEFGOB
COMUNA 13,1013000143,13875,6,0.04
COMUNA 13,1013000144,6205,3,0.05
COMUNA 13,1013000145,11878,5,0.04
COMUNA 13,1013000146,8815,1,0.01
COMUNA 13,1013000147,15906,2,0.01
COMUNA 14,1014000148,17019,3,0.02
COMUNA 14,1014000149,19173,0,0.0
COMUNA 14,1014000150,9660,8,0.08
COMUNA 14,1014000151,19176,6,0.03
COMUNA 14,1014000152,15309,5,0.03
COMUNA 14,1014000153,17557,4,0.02
COMUNA 14,1014000154,20138,5,0.02
COMUNA 14,1014000155,18348,2,0.01
COMUNA 14,1014000156,7557,0,0.0
COMUNA 14,1014000157,12382,1,0.01
COMUNA 15,1015000158,15256,6,0.04
COMUNA 15,1015000159,9402,1,0.01
COMUNA 15,1015000160,17753,7,0.04
COMUNA 15,1015000161,15688,4,0.03
COMUNA 15,1015000162,12683,6,0.05
COMUNA 15,1015000163,9836,3,0.03
COMUNA 15,1015000164,8649,6,0.07
COMUNA 15,1015000165,15840,12,0.08
COMUNA 15,1015000166,13172,9,0.07
COMUNA 15,1015000167,10598,4,0.04
