NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_NULO_COM7,PORCENTAJE_NULO_COM7
COMUNA 07,1007000075,8194,73,0.89
COMUNA 07,1007000076,13107,106,0.81
COMUNA 07,1007000077,10239,79,0.77
COMUNA 07,1007000078,8193,80,0.98
COMUNA 07,1007000079,10072,68,0.68
COMUNA 07,1007000080,10600,95,0.9
COMUNA 07,1007000081,9824,101,1.03
COMUNA 07,1007000082,11678,84,0.72
COMUNA 07,1007000083,16300,128,0.79
COMUNA 07,1007000084,8775,94,1.07
COMUNA 07,1007000085,6062,69,1.14
COMUNA 07,1007000086,21655,206,0.95
