NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_CF_COM3,PORCENTAJE_CF_COM3
COMUNA 03,1003000030,7953,611,7.68
COMUNA 03,1003000031,8906,612,6.87
COMUNA 03,1003000032,7975,542,6.8
COMUNA 03,1003000033,6284,417,6.64
COMUNA 03,1003000034,9989,678,6.79
COMUNA 03,1003000035,9281,659,7.1
COMUNA 03,1003000036,6246,434,6.95
COMUNA 03,1003000037,8255,551,6.67
COMUNA 03,1003000038,9021,574,6.36
COMUNA 03,1003000039,9468,598,6.32
COMUNA 03,1003000040,7368,502,6.81
COMUNA 03,1003000041,13698,929,6.78
COMUNA 03,1003000042,12464,807,6.47
