NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_CF_DIPNAC,PORCENTAJE_CF_DIPNAC
COMUNA 13,1013000141,11224,685,6.1
COMUNA 13,1013000142,18655,823,4.41
COMUNA 13,1013000143,13915,910,6.54
COMUNA 13,1013000144,6201,319,5.14
COMUNA 13,1013000145,11900,850,7.14
COMUNA 13,1013000146,8724,578,6.63
COMUNA 13,1013000147,16001,1034,6.46
COMUNA 14,1014000148,17107,1043,6.1
COMUNA 14,1014000149,19245,1126,5.85
COMUNA 14,1014000150,9688,348,3.59
COMUNA 14,1014000151,19475,934,4.8
COMUNA 14,1014000152,15096,756,5.01
COMUNA 14,1014000153,17650,1161,6.58
COMUNA 14,1014000154,20244,1303,6.44
COMUNA 14,1014000155,18373,1226,6.67
COMUNA 14,1014000156,7586,543,7.16
COMUNA 14,1014000157,12399,853,6.88
COMUNA 15,1015000158,15275,1144,7.49
COMUNA 15,1015000159,9413,709,7.53
COMUNA 15,1015000160,17770,1364,7.68
COMUNA 15,1015000161,15642,1239,7.92
COMUNA 15,1015000162,12685,937,7.39
COMUNA 15,1015000163,9521,613,6.44
COMUNA 15,1015000164,8653,565,6.53
COMUNA 15,1015000165,15825,1182,7.47
COMUNA 15,1015000166,13177,1015,7.7
COMUNA 15,1015000167,10606,941,8.87
