NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM10,VOTOS_ULD_COM10,PORCENTAJE_ULD_COM10
COMUNA 10,1010000102,10499,373,3.55
COMUNA 10,1010000103,10303,343,3.33
COMUNA 10,1010000104,10041,281,2.8
COMUNA 10,1010000105,14911,430,2.88
COMUNA 10,1010000106,9289,275,2.96
COMUNA 10,1010000107,15420,494,3.2
COMUNA 10,1010000108,9718,313,3.22
COMUNA 10,1010000109,15178,445,2.93
COMUNA 10,1010000110,8078,227,2.81
COMUNA 10,1010000111,8912,266,2.98
COMUNA 10,1010000112,6586,214,3.25
