NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_JXC_COM13,PORCENTAJE_JXC_COM13
COMUNA 13,1013000134,6826,3891,57.0
COMUNA 13,1013000135,9428,5479,58.11
COMUNA 13,1013000136,11643,6185,53.12
COMUNA 13,1013000137,10871,5752,52.91
COMUNA 13,1013000138,22202,13124,59.11
COMUNA 13,1013000139,14074,8596,61.08
COMUNA 13,1013000140,6552,3682,56.2
COMUNA 13,1013000141,11173,6742,60.34
COMUNA 13,1013000142,18591,13804,74.25
COMUNA 13,1013000143,13853,8490,61.29
COMUNA 13,1013000144,6185,3958,63.99
COMUNA 13,1013000145,11879,5853,49.27
COMUNA 13,1013000146,8802,4045,45.96
COMUNA 13,1013000147,15951,9610,60.25
