NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_NULO_JEFGOB,PORCENTAJE_NULO_JEFGOB
COMUNA 13,1013000143,13875,109,0.79
COMUNA 13,1013000144,6205,45,0.73
COMUNA 13,1013000145,11878,111,0.93
COMUNA 13,1013000146,8815,73,0.83
COMUNA 13,1013000147,15906,99,0.62
COMUNA 14,1014000148,17019,97,0.57
COMUNA 14,1014000149,19173,101,0.53
COMUNA 14,1014000150,9660,35,0.36
COMUNA 14,1014000151,19176,112,0.58
COMUNA 14,1014000152,15309,92,0.6
COMUNA 14,1014000153,17557,137,0.78
COMUNA 14,1014000154,20138,226,1.12
COMUNA 14,1014000155,18348,172,0.94
COMUNA 14,1014000156,7557,66,0.87
COMUNA 14,1014000157,12382,99,0.8
COMUNA 15,1015000158,15256,180,1.18
COMUNA 15,1015000159,9402,81,0.86
COMUNA 15,1015000160,17753,171,0.96
COMUNA 15,1015000161,15688,151,0.96
COMUNA 15,1015000162,12683,115,0.91
COMUNA 15,1015000163,9836,74,0.75
COMUNA 15,1015000164,8649,140,1.62
COMUNA 15,1015000165,15840,146,0.92
COMUNA 15,1015000166,13172,118,0.9
COMUNA 15,1015000167,10598,95,0.9
