NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_BLANCO_JEFGOB,PORCENTAJE_BLANCO_JEFGOB
COMUNA 13,1013000141,11183,720,6.44
COMUNA 13,1013000142,18615,1106,5.94
COMUNA 13,1013000143,13875,976,7.03
COMUNA 13,1013000144,6205,419,6.75
COMUNA 13,1013000145,11878,916,7.71
COMUNA 13,1013000146,8815,688,7.8
COMUNA 13,1013000147,15906,1174,7.38
COMUNA 14,1014000148,17019,1195,7.02
COMUNA 14,1014000149,19173,1272,6.63
COMUNA 14,1014000150,9660,578,5.98
COMUNA 14,1014000151,19176,1242,6.48
COMUNA 14,1014000152,15309,1035,6.76
COMUNA 14,1014000153,17557,1212,6.9
COMUNA 14,1014000154,20138,1354,6.72
COMUNA 14,1014000155,18348,1329,7.24
COMUNA 14,1014000156,7557,587,7.77
COMUNA 14,1014000157,12382,876,7.07
COMUNA 15,1015000158,15256,1127,7.39
COMUNA 15,1015000159,9402,631,6.71
COMUNA 15,1015000160,17753,1328,7.48
COMUNA 15,1015000161,15688,1179,7.52
COMUNA 15,1015000162,12683,1059,8.35
COMUNA 15,1015000163,9836,738,7.5
COMUNA 15,1015000164,8649,693,8.01
COMUNA 15,1015000165,15840,1169,7.38
COMUNA 15,1015000166,13172,948,7.2
COMUNA 15,1015000167,10598,793,7.48
