NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM8,VOTOS_FIT_COM8,PORCENTAJE_FIT_COM8,VOTOS_CF_COM8,PORCENTAJE_CF_COM8,VOTOS_FDT_COM8,PORCENTAJE_FDT_COM8,VOTOS_JXC_COM8,PORCENTAJE_JXC_COM8,VOTOS_NULO_COM8,PORCENTAJE_NULO_COM8,VOTOS_RECURRIDO_COM8,PORCENTAJE_RECURRIDO_COM8,VOTOS_IMPUGNADO_COM8,PORCENTAJE_IMPUGNADO_COM8,VOTOS_BLANCO_COM8,PORCENTAJE_BLANCO_COM8,VOTOS_OTROS_COM8,PORCENTAJE_OTROS_COM8
COMUNA 08,1008000087,23462,841,3.58,1244,5.3,12666,53.99,5490,23.4,215,0.92,33,0.14,17,0.07,2114,9.01,842,3.59
COMUNA 08,1008000088,14267,568,3.98,1152,8.07,5325,37.32,5393,37.8,187,1.31,3,0.02,1,0.01,943,6.61,695,4.87
COMUNA 08,1008000089,35916,1465,4.08,2456,6.84,15709,43.74,11472,31.94,379,1.06,5,0.01,1,0.0,3026,8.43,1403,3.91
COMUNA 08,1008000090,34111,1313,3.85,2273,6.66,15841,46.44,10313,30.23,331,0.97,10,0.03,40,0.12,2611,7.65,1379,4.04
