NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_FIT_COM4,PORCENTAJE_FIT_COM4
COMUNA 04,1004000043,12582,475,3.78
COMUNA 04,1004000044,9944,406,4.08
COMUNA 04,1004000045,7582,251,3.31
COMUNA 04,1004000046,6891,238,3.45
COMUNA 04,1004000047,17659,317,1.8
COMUNA 04,1004000048,13871,444,3.2
COMUNA 04,1004000049,13679,451,3.3
COMUNA 04,1004000050,14169,538,3.8
COMUNA 04,1004000051,10508,320,3.05
COMUNA 04,1004000052,13391,394,2.94
COMUNA 04,1004000053,15057,411,2.73
COMUNA 04,1004000054,15777,556,3.52
COMUNA 04,1004000055,10555,316,2.99
COMUNA 04,1004000056,9956,306,3.07
COMUNA 04,1004000057,20222,671,3.32
