NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_FIT_COM13,PORCENTAJE_FIT_COM13,VOTOS_CF_COM13,PORCENTAJE_CF_COM13,VOTOS_FDT_COM13,PORCENTAJE_FDT_COM13,VOTOS_JXC_COM13,PORCENTAJE_JXC_COM13,VOTOS_NULO_COM13,PORCENTAJE_NULO_COM13,VOTOS_RECURRIDO_COM13,PORCENTAJE_RECURRIDO_COM13,VOTOS_IMPUGNADO_COM13,PORCENTAJE_IMPUGNADO_COM13,VOTOS_BLANCO_COM13,PORCENTAJE_BLANCO_COM13
COMUNA 13,1013000134,6826,256,3.75,445,6.52,1486,21.77,3891,57.0,69,1.01,0,0.0,0,0.0,560,8.2
COMUNA 13,1013000135,9428,310,3.29,603,6.4,2039,21.63,5479,58.11,75,0.8,1,0.01,0,0.0,789,8.37
COMUNA 13,1013000136,11643,515,4.42,786,6.75,2790,23.96,6185,53.12,88,0.76,1,0.01,3,0.03,1088,9.34
COMUNA 13,1013000137,10871,486,4.47,831,7.64,2707,24.9,5752,52.91,96,0.88,0,0.0,3,0.03,794,7.3
COMUNA 13,1013000138,22202,831,3.74,1459,6.57,4429,19.95,13124,59.11,188,0.85,3,0.01,0,0.0,1743,7.85
COMUNA 13,1013000139,14074,485,3.45,835,5.93,2604,18.5,8596,61.08,103,0.73,6,0.04,1,0.01,1185,8.42
COMUNA 13,1013000140,6552,261,3.98,366,5.59,1500,22.89,3682,56.2,42,0.64,1,0.02,1,0.02,614,9.37
COMUNA 13,1013000141,11173,334,2.99,639,5.72,2339,20.93,6742,60.34,75,0.67,2,0.02,0,0.0,885,7.92
COMUNA 13,1013000142,18591,363,1.95,737,3.96,2062,11.09,13804,74.25,90,0.48,7,0.04,2,0.01,1236,6.65
COMUNA 13,1013000143,13853,470,3.39,829,5.98,2564,18.51,8490,61.29,106,0.77,7,0.05,0,0.0,1145,8.27
COMUNA 13,1013000144,6185,226,3.65,314,5.08,1040,16.81,3958,63.99,39,0.63,2,0.03,0,0.0,476,7.7
COMUNA 13,1013000145,11879,590,4.97,782,6.58,3236,27.24,5853,49.27,106,0.89,4,0.03,1,0.01,1100,9.26
COMUNA 13,1013000146,8802,414,4.7,533,6.06,2755,31.3,4045,45.96,73,0.83,0,0.0,0,0.0,802,9.11
COMUNA 13,1013000147,15951,519,3.25,986,6.18,3066,19.22,9610,60.25,99,0.62,3,0.02,2,0.01,1354,8.49
