NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_JXC_DIPNAC,PORCENTAJE_JXC_DIPNAC
COMUNA 13,1013000137,10995,5682,51.68
COMUNA 13,1013000138,22381,12993,58.05
COMUNA 13,1013000139,14109,8445,59.86
COMUNA 13,1013000140,6545,3640,55.61
COMUNA 13,1013000141,11224,6667,59.4
COMUNA 13,1013000142,18655,13664,73.25
COMUNA 13,1013000143,13915,8357,60.06
COMUNA 13,1013000144,6201,3883,62.62
COMUNA 13,1013000145,11900,5735,48.19
COMUNA 13,1013000146,8724,3872,44.38
COMUNA 13,1013000147,16001,9494,59.33
COMUNA 14,1014000148,17107,10951,64.01
COMUNA 14,1014000149,19245,12755,66.28
COMUNA 14,1014000150,9688,7353,75.9
COMUNA 14,1014000151,19475,13263,68.1
COMUNA 14,1014000152,15096,9700,64.26
COMUNA 14,1014000153,17650,9561,54.17
COMUNA 14,1014000154,20244,10240,50.58
COMUNA 14,1014000155,18373,8857,48.21
COMUNA 14,1014000156,7586,3211,42.33
COMUNA 14,1014000157,12399,5375,43.35
COMUNA 15,1015000158,15275,6254,40.94
COMUNA 15,1015000159,9413,3698,39.29
COMUNA 15,1015000160,17770,7337,41.29
COMUNA 15,1015000161,15642,6044,38.64
COMUNA 15,1015000162,12685,4364,34.4
COMUNA 15,1015000163,9521,3335,35.03
COMUNA 15,1015000164,8653,3270,37.79
COMUNA 15,1015000165,15825,6768,42.77
COMUNA 15,1015000166,13177,5275,40.03
COMUNA 15,1015000167,10606,4654,43.88
