NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM11,VOTOS_ULD_COM11,PORCENTAJE_ULD_COM11
COMUNA 11,1011000113,10199,348,3.41
COMUNA 11,1011000114,13502,424,3.14
COMUNA 11,1011000115,9354,287,3.07
COMUNA 11,1011000116,13520,422,3.12
COMUNA 11,1011000117,14847,440,2.96
COMUNA 11,1011000118,11621,362,3.12
COMUNA 11,1011000119,14655,433,2.95
COMUNA 11,1011000120,15195,560,3.69
COMUNA 11,1011000121,12446,416,3.34
COMUNA 11,1011000122,10531,385,3.66
COMUNA 11,1011000123,11586,419,3.62
