NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_CF_JEFGOB,PORCENTAJE_CF_JEFGOB
COMUNA 13,1013000142,18615,750,4.03
COMUNA 13,1013000143,13875,879,6.34
COMUNA 13,1013000144,6205,314,5.06
COMUNA 13,1013000145,11878,791,6.66
COMUNA 13,1013000146,8815,543,6.16
COMUNA 13,1013000147,15906,1014,6.37
COMUNA 14,1014000148,17019,984,5.78
COMUNA 14,1014000149,19173,1087,5.67
COMUNA 14,1014000150,9660,324,3.35
COMUNA 14,1014000151,19176,895,4.67
COMUNA 14,1014000152,15309,711,4.64
COMUNA 14,1014000153,17557,1093,6.23
COMUNA 14,1014000154,20138,1232,6.12
COMUNA 14,1014000155,18348,1163,6.34
COMUNA 14,1014000156,7557,517,6.84
COMUNA 14,1014000157,12382,836,6.75
COMUNA 15,1015000158,15256,1124,7.37
COMUNA 15,1015000159,9402,666,7.08
COMUNA 15,1015000160,17753,1376,7.75
COMUNA 15,1015000161,15688,1256,8.01
COMUNA 15,1015000162,12683,901,7.1
COMUNA 15,1015000163,9836,584,5.94
COMUNA 15,1015000164,8649,543,6.28
COMUNA 15,1015000165,15840,1123,7.09
COMUNA 15,1015000166,13172,1005,7.63
COMUNA 15,1015000167,10598,881,8.31
