NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 13,1013000144,6206,2,0.03
COMUNA 13,1013000145,11891,4,0.03
COMUNA 13,1013000146,8866,2,0.02
COMUNA 13,1013000147,15980,3,0.02
COMUNA 14,1014000148,17184,2,0.01
COMUNA 14,1014000149,19267,0,0.0
COMUNA 14,1014000150,9692,8,0.08
COMUNA 14,1014000151,19469,8,0.04
COMUNA 14,1014000152,14959,6,0.04
COMUNA 14,1014000153,17576,5,0.03
COMUNA 14,1014000154,20312,5,0.02
COMUNA 14,1014000155,18366,2,0.01
COMUNA 14,1014000156,7567,0,0.0
COMUNA 14,1014000157,12392,3,0.02
COMUNA 15,1015000158,15289,7,0.05
COMUNA 15,1015000159,9436,1,0.01
COMUNA 15,1015000160,17775,8,0.05
COMUNA 15,1015000161,15639,6,0.04
COMUNA 15,1015000162,12689,6,0.05
COMUNA 15,1015000163,9538,3,0.03
COMUNA 15,1015000164,8654,6,0.07
COMUNA 15,1015000165,15832,11,0.07
COMUNA 15,1015000166,13176,9,0.07
COMUNA 15,1015000167,10519,4,0.04
