NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_NULO_COM4,PORCENTAJE_NULO_COM4
COMUNA 04,1004000043,12582,123,0.98
COMUNA 04,1004000044,9944,121,1.22
COMUNA 04,1004000045,7582,70,0.92
COMUNA 04,1004000046,6891,62,0.9
COMUNA 04,1004000047,17659,183,1.04
COMUNA 04,1004000048,13871,117,0.84
COMUNA 04,1004000049,13679,180,1.32
COMUNA 04,1004000050,14169,167,1.18
COMUNA 04,1004000051,10508,84,0.8
COMUNA 04,1004000052,13391,128,0.96
COMUNA 04,1004000053,15057,170,1.13
COMUNA 04,1004000054,15777,169,1.07
COMUNA 04,1004000055,10555,112,1.06
COMUNA 04,1004000056,9956,91,0.91
COMUNA 04,1004000057,20222,168,0.83
