NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 13,1013000138,22404,12916,57.65
COMUNA 13,1013000139,14138,8399,59.41
COMUNA 13,1013000140,6549,3602,55.0
COMUNA 13,1013000141,11241,6615,58.85
COMUNA 13,1013000142,18669,13665,73.2
COMUNA 13,1013000143,13904,8317,59.82
COMUNA 13,1013000144,6206,3894,62.75
COMUNA 13,1013000145,11891,5707,47.99
COMUNA 13,1013000146,8866,3946,44.51
COMUNA 13,1013000147,15980,9473,59.28
COMUNA 14,1014000148,17184,10921,63.55
COMUNA 14,1014000149,19267,12733,66.09
COMUNA 14,1014000150,9692,7446,76.83
COMUNA 14,1014000151,19469,13282,68.22
COMUNA 14,1014000152,14959,9637,64.42
COMUNA 14,1014000153,17576,9473,53.9
COMUNA 14,1014000154,20312,10239,50.41
COMUNA 14,1014000155,18366,8774,47.77
COMUNA 14,1014000156,7567,3161,41.77
COMUNA 14,1014000157,12392,5332,43.03
COMUNA 15,1015000158,15289,6189,40.48
COMUNA 15,1015000159,9436,3662,38.81
COMUNA 15,1015000160,17775,7269,40.89
COMUNA 15,1015000161,15639,5974,38.2
COMUNA 15,1015000162,12689,4299,33.88
COMUNA 15,1015000163,9538,3291,34.5
COMUNA 15,1015000164,8654,3225,37.27
COMUNA 15,1015000165,15832,6670,42.13
COMUNA 15,1015000166,13176,5191,39.4
COMUNA 15,1015000167,10519,4574,43.48
