NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM11,VOTOS_JXC_COM11,PORCENTAJE_JXC_COM11
COMUNA 11,1011000113,10199,4154,40.73
COMUNA 11,1011000114,13502,5545,41.07
COMUNA 11,1011000115,9354,3559,38.05
COMUNA 11,1011000116,13520,5286,39.1
COMUNA 11,1011000117,14847,6371,42.91
COMUNA 11,1011000118,11621,5601,48.2
COMUNA 11,1011000119,14655,6804,46.43
COMUNA 11,1011000120,15195,7350,48.37
COMUNA 11,1011000121,12446,5694,45.75
COMUNA 11,1011000122,10531,6152,58.42
COMUNA 11,1011000123,11586,5404,46.64
