NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_ULD_DIPNAC,PORCENTAJE_ULD_DIPNAC
COMUNA 13,1013000143,13915,494,3.55
COMUNA 13,1013000144,6201,218,3.52
COMUNA 13,1013000145,11900,340,2.86
COMUNA 13,1013000146,8724,271,3.11
COMUNA 13,1013000147,16001,499,3.12
COMUNA 14,1014000148,17107,542,3.17
COMUNA 14,1014000149,19245,549,2.85
COMUNA 14,1014000150,9688,278,2.87
COMUNA 14,1014000151,19475,621,3.19
COMUNA 14,1014000152,15096,441,2.92
COMUNA 14,1014000153,17650,509,2.88
COMUNA 14,1014000154,20244,599,2.96
COMUNA 14,1014000155,18373,490,2.67
COMUNA 14,1014000156,7586,220,2.9
COMUNA 14,1014000157,12399,353,2.85
COMUNA 15,1015000158,15275,436,2.85
COMUNA 15,1015000159,9413,236,2.51
COMUNA 15,1015000160,17770,486,2.73
COMUNA 15,1015000161,15642,456,2.92
COMUNA 15,1015000162,12685,349,2.75
COMUNA 15,1015000163,9521,217,2.28
COMUNA 15,1015000164,8653,225,2.6
COMUNA 15,1015000165,15825,469,2.96
COMUNA 15,1015000166,13177,415,3.15
COMUNA 15,1015000167,10606,316,2.98
