NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_BLANCO_DIPNAC,PORCENTAJE_BLANCO_DIPNAC
COMUNA 13,1013000143,13915,493,3.54
COMUNA 13,1013000144,6201,197,3.18
COMUNA 13,1013000145,11900,499,4.19
COMUNA 13,1013000146,8724,351,4.02
COMUNA 13,1013000147,16001,590,3.69
COMUNA 14,1014000148,17107,592,3.46
COMUNA 14,1014000149,19245,663,3.45
COMUNA 14,1014000150,9688,274,2.83
COMUNA 14,1014000151,19475,534,2.74
COMUNA 14,1014000152,15096,500,3.31
COMUNA 14,1014000153,17650,597,3.38
COMUNA 14,1014000154,20244,716,3.54
COMUNA 14,1014000155,18373,713,3.88
COMUNA 14,1014000156,7586,296,3.9
COMUNA 14,1014000157,12399,448,3.61
COMUNA 15,1015000158,15275,621,4.07
COMUNA 15,1015000159,9413,352,3.74
COMUNA 15,1015000160,17770,793,4.46
COMUNA 15,1015000161,15642,574,3.67
COMUNA 15,1015000162,12685,610,4.81
COMUNA 15,1015000163,9521,403,4.23
COMUNA 15,1015000164,8653,387,4.47
COMUNA 15,1015000165,15825,626,3.96
COMUNA 15,1015000166,13177,452,3.43
COMUNA 15,1015000167,10606,391,3.69
