NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_BLANCO_COM3,PORCENTAJE_BLANCO_COM3
COMUNA 03,1003000030,7953,802,10.08
COMUNA 03,1003000031,8906,918,10.31
COMUNA 03,1003000032,7975,814,10.21
COMUNA 03,1003000033,6284,668,10.63
COMUNA 03,1003000034,9989,1066,10.67
COMUNA 03,1003000035,9281,927,9.99
COMUNA 03,1003000036,6246,633,10.13
COMUNA 03,1003000037,8255,882,10.68
COMUNA 03,1003000038,9021,858,9.51
COMUNA 03,1003000039,9468,957,10.11
COMUNA 03,1003000040,7368,751,10.19
COMUNA 03,1003000041,13698,1423,10.39
COMUNA 03,1003000042,12464,1238,9.93
