NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM5,VOTOS_NULO_COM5,PORCENTAJE_NULO_COM5
COMUNA 05,1005000058,10786,115,1.07
COMUNA 05,1005000059,10341,86,0.83
COMUNA 05,1005000060,12579,119,0.95
COMUNA 05,1005000061,11661,79,0.68
COMUNA 05,1005000062,8014,64,0.8
COMUNA 05,1005000063,15490,115,0.74
COMUNA 05,1005000064,16659,147,0.88
COMUNA 05,1005000065,10473,94,0.9
COMUNA 05,1005000066,10170,105,1.03
COMUNA 05,1005000067,15729,119,0.76
