NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM6,VOTOS_NULO_COM6,PORCENTAJE_NULO_COM6
COMUNA 06,1006000068,15971,123,0.77
COMUNA 06,1006000069,22510,178,0.79
COMUNA 06,1006000070,20649,169,0.82
COMUNA 06,1006000071,24697,213,0.86
COMUNA 06,1006000072,10778,114,1.06
COMUNA 06,1006000073,13819,150,1.09
COMUNA 06,1006000074,19208,145,0.75
