NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_NULO_DIPNAC,PORCENTAJE_NULO_DIPNAC
COMUNA 13,1013000143,13915,112,0.8
COMUNA 13,1013000144,6201,50,0.81
COMUNA 13,1013000145,11900,116,0.97
COMUNA 13,1013000146,8724,81,0.93
COMUNA 13,1013000147,16001,114,0.71
COMUNA 14,1014000148,17107,117,0.68
COMUNA 14,1014000149,19245,109,0.57
COMUNA 14,1014000150,9688,47,0.49
COMUNA 14,1014000151,19475,117,0.6
COMUNA 14,1014000152,15096,109,0.72
COMUNA 14,1014000153,17650,150,0.85
COMUNA 14,1014000154,20244,225,1.11
COMUNA 14,1014000155,18373,184,1.0
COMUNA 14,1014000156,7586,72,0.95
COMUNA 14,1014000157,12399,123,0.99
COMUNA 15,1015000158,15275,191,1.25
COMUNA 15,1015000159,9413,84,0.89
COMUNA 15,1015000160,17770,180,1.01
COMUNA 15,1015000161,15642,156,1.0
COMUNA 15,1015000162,12685,121,0.95
COMUNA 15,1015000163,9521,75,0.79
COMUNA 15,1015000164,8653,153,1.77
COMUNA 15,1015000165,15825,150,0.95
COMUNA 15,1015000166,13177,125,0.95
COMUNA 15,1015000167,10606,110,1.04
