NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_CF_COM13,PORCENTAJE_CF_COM13
COMUNA 13,1013000134,6826,445,6.52
COMUNA 13,1013000135,9428,603,6.4
COMUNA 13,1013000136,11643,786,6.75
COMUNA 13,1013000137,10871,831,7.64
COMUNA 13,1013000138,22202,1459,6.57
COMUNA 13,1013000139,14074,835,5.93
COMUNA 13,1013000140,6552,366,5.59
COMUNA 13,1013000141,11173,639,5.72
COMUNA 13,1013000142,18591,737,3.96
COMUNA 13,1013000143,13853,829,5.98
COMUNA 13,1013000144,6185,314,5.08
COMUNA 13,1013000145,11879,782,6.58
COMUNA 13,1013000146,8802,533,6.06
COMUNA 13,1013000147,15951,986,6.18
