NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_IMPUGNADO_PRES,PORCENTAJE_IMPUGNADO_PRES
COMUNA 13,1013000143,13904,0,0.0
COMUNA 13,1013000144,6206,0,0.0
COMUNA 13,1013000145,11891,1,0.01
COMUNA 13,1013000146,8866,0,0.0
COMUNA 13,1013000147,15980,1,0.01
COMUNA 14,1014000148,17184,3,0.02
COMUNA 14,1014000149,19267,3,0.02
COMUNA 14,1014000150,9692,2,0.02
COMUNA 14,1014000151,19469,3,0.02
COMUNA 14,1014000152,14959,8,0.05
COMUNA 14,1014000153,17576,4,0.02
COMUNA 14,1014000154,20312,2,0.01
COMUNA 14,1014000155,18366,0,0.0
COMUNA 14,1014000156,7567,0,0.0
COMUNA 14,1014000157,12392,1,0.01
COMUNA 15,1015000158,15289,0,0.0
COMUNA 15,1015000159,9436,0,0.0
COMUNA 15,1015000160,17775,1,0.01
COMUNA 15,1015000161,15639,3,0.02
COMUNA 15,1015000162,12689,2,0.02
COMUNA 15,1015000163,9538,1,0.01
COMUNA 15,1015000164,8654,0,0.0
COMUNA 15,1015000165,15832,9,0.06
COMUNA 15,1015000166,13176,0,0.0
COMUNA 15,1015000167,10519,0,0.0
