NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM6,VOTOS_FIT_COM6,PORCENTAJE_FIT_COM6,VOTOS_CF_COM6,PORCENTAJE_CF_COM6,VOTOS_FDT_COM6,PORCENTAJE_FDT_COM6,VOTOS_JXC_COM6,PORCENTAJE_JXC_COM6,VOTOS_NULO_COM6,PORCENTAJE_NULO_COM6,VOTOS_RECURRIDO_COM6,PORCENTAJE_RECURRIDO_COM6,VOTOS_IMPUGNADO_COM6,PORCENTAJE_IMPUGNADO_COM6,VOTOS_BLANCO_COM6,PORCENTAJE_BLANCO_COM6
COMUNA 06,1006000068,15971,883,5.53,1170,7.33,5144,32.21,6834,42.79,123,0.77,7,0.04,0,0.0,1035,6.48
COMUNA 06,1006000069,22510,972,4.32,1665,7.4,5806,25.79,11542,51.27,178,0.79,12,0.05,2,0.01,1271,5.65
COMUNA 06,1006000070,20649,1142,5.53,1544,7.48,6152,29.79,9296,45.02,169,0.82,5,0.02,0,0.0,1342,6.5
COMUNA 06,1006000071,24697,1057,4.28,1777,7.2,6762,27.38,12220,49.48,213,0.86,3,0.01,1,0.0,1422,5.76
COMUNA 06,1006000072,10778,608,5.64,902,8.37,3593,33.34,4236,39.3,114,1.06,5,0.05,3,0.03,754,7.0
COMUNA 06,1006000073,13819,800,5.79,1082,7.83,4362,31.57,5908,42.75,150,1.09,9,0.07,0,0.0,882,6.38
COMUNA 06,1006000074,19208,801,4.17,1491,7.76,4699,24.46,9946,51.78,145,0.75,2,0.01,2,0.01,1109,5.77
