NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 13,1013000138,22404,4681,20.89
COMUNA 13,1013000139,14138,2754,19.48
COMUNA 13,1013000140,6549,1572,24.0
COMUNA 13,1013000141,11241,2465,21.93
COMUNA 13,1013000142,18669,2153,11.53
COMUNA 13,1013000143,13904,2718,19.55
COMUNA 13,1013000144,6206,1100,17.72
COMUNA 13,1013000145,11891,3406,28.64
COMUNA 13,1013000146,8866,2879,32.47
COMUNA 13,1013000147,15980,3253,20.36
COMUNA 14,1014000148,17184,2938,17.1
COMUNA 14,1014000149,19267,3157,16.39
COMUNA 14,1014000150,9692,978,10.09
COMUNA 14,1014000151,19469,3099,15.92
COMUNA 14,1014000152,14959,2737,18.3
COMUNA 14,1014000153,17576,4435,25.23
COMUNA 14,1014000154,20312,5746,28.29
COMUNA 14,1014000155,18366,5643,30.73
COMUNA 14,1014000156,7567,2644,34.94
COMUNA 14,1014000157,12392,4228,34.12
COMUNA 15,1015000158,15289,5309,34.72
COMUNA 15,1015000159,9436,3581,37.95
COMUNA 15,1015000160,17775,6088,34.25
COMUNA 15,1015000161,15639,5785,36.99
COMUNA 15,1015000162,12689,5324,41.96
COMUNA 15,1015000163,9538,4095,42.93
COMUNA 15,1015000164,8654,3329,38.47
COMUNA 15,1015000165,15832,5412,34.18
COMUNA 15,1015000166,13176,4893,37.14
COMUNA 15,1015000167,10519,3317,31.53
