NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM11,VOTOS_FIT_COM11,PORCENTAJE_FIT_COM11,VOTOS_CF_COM11,PORCENTAJE_CF_COM11,VOTOS_FDT_COM11,PORCENTAJE_FDT_COM11,VOTOS_JXC_COM11,PORCENTAJE_JXC_COM11,VOTOS_NULO_COM11,PORCENTAJE_NULO_COM11,VOTOS_RECURRIDO_COM11,PORCENTAJE_RECURRIDO_COM11,VOTOS_IMPUGNADO_COM11,PORCENTAJE_IMPUGNADO_COM11,VOTOS_BLANCO_COM11,PORCENTAJE_BLANCO_COM11,VOTOS_OTROS_COM11,PORCENTAJE_OTROS_COM11
COMUNA 11,1011000113,10199,508,4.98,918,9.0,3319,32.54,4154,40.73,98,0.96,6,0.06,0,0.0,691,6.78,505,4.95
COMUNA 11,1011000114,13502,611,4.53,1148,8.5,4438,32.87,5545,41.07,131,0.97,3,0.02,1,0.01,994,7.36,631,4.67
COMUNA 11,1011000115,9354,480,5.13,722,7.72,3351,35.82,3559,38.05,99,1.06,2,0.02,0,0.0,707,7.56,434,4.64
COMUNA 11,1011000116,13520,685,5.07,1071,7.92,4753,35.16,5286,39.1,129,0.95,4,0.03,1,0.01,906,6.7,685,5.07
COMUNA 11,1011000117,14847,705,4.75,1233,8.3,4609,31.04,6371,42.91,154,1.04,3,0.02,0,0.0,1045,7.04,727,4.9
COMUNA 11,1011000118,11621,509,4.38,949,8.17,3211,27.63,5601,48.2,100,0.86,3,0.03,0,0.0,709,6.1,539,4.64
COMUNA 11,1011000119,14655,585,3.99,1301,8.88,4215,28.76,6804,46.43,126,0.86,6,0.04,0,0.0,922,6.29,696,4.75
COMUNA 11,1011000120,15195,628,4.13,1342,8.83,3986,26.23,7350,48.37,159,1.05,3,0.02,4,0.03,878,5.78,845,5.56
COMUNA 11,1011000121,12446,461,3.7,1147,9.22,3487,28.02,5694,45.75,149,1.2,3,0.02,1,0.01,871,7.0,633,5.09
COMUNA 11,1011000122,10531,312,2.96,739,7.02,2144,20.36,6152,58.42,114,1.08,1,0.01,0,0.0,528,5.01,541,5.14
COMUNA 11,1011000123,11586,469,4.05,1037,8.95,3104,26.79,5404,46.64,119,1.03,10,0.09,13,0.11,791,6.83,639,5.52
