NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_FIT_COM4,PORCENTAJE_FIT_COM4,VOTOS_CF_COM4,PORCENTAJE_CF_COM4,VOTOS_FDT_COM4,PORCENTAJE_FDT_COM4,VOTOS_JXC_COM4,PORCENTAJE_JXC_COM4,VOTOS_NULO_COM4,PORCENTAJE_NULO_COM4,VOTOS_RECURRIDO_COM4,PORCENTAJE_RECURRIDO_COM4,VOTOS_IMPUGNADO_COM4,PORCENTAJE_IMPUGNADO_COM4,VOTOS_BLANCO_COM4,PORCENTAJE_BLANCO_COM4,VOTOS_OTROS_COM4,PORCENTAJE_OTROS_COM4
COMUNA 04,1004000043,12582,475,3.78,683,5.43,6776,53.85,3415,27.14,123,0.98,1,0.01,0,0.0,920,7.31,189,1.5
COMUNA 04,1004000044,9944,406,4.08,540,5.43,5338,53.68,2742,27.57,121,1.22,0,0.0,0,0.0,670,6.74,127,1.28
COMUNA 04,1004000045,7582,251,3.31,309,4.08,4462,58.85,1866,24.61,70,0.92,2,0.03,0,0.0,544,7.17,78,1.03
COMUNA 04,1004000046,6891,238,3.45,323,4.69,3998,58.02,1660,24.09,62,0.9,1,0.01,0,0.0,500,7.26,109,1.58
COMUNA 04,1004000047,17659,317,1.8,423,2.4,13134,74.38,1711,9.69,183,1.04,0,0.0,6,0.03,1727,9.78,158,0.89
COMUNA 04,1004000048,13871,444,3.2,695,5.01,7144,51.5,4253,30.66,117,0.84,4,0.03,1,0.01,993,7.16,220,1.59
COMUNA 04,1004000049,13679,451,3.3,592,4.33,7914,57.86,3373,24.66,180,1.32,3,0.02,10,0.07,944,6.9,212,1.55
COMUNA 04,1004000050,14169,538,3.8,737,5.2,6478,45.72,5129,36.2,167,1.18,5,0.04,5,0.04,931,6.57,179,1.26
COMUNA 04,1004000051,10508,320,3.05,534,5.08,4896,46.59,3651,34.74,84,0.8,5,0.05,8,0.08,864,8.22,146,1.39
COMUNA 04,1004000052,13391,394,2.94,464,3.47,8154,60.89,2916,21.78,128,0.96,35,0.26,10,0.07,1097,8.19,193,1.44
COMUNA 04,1004000053,15057,411,2.73,606,4.02,8874,58.94,3288,21.84,170,1.13,1,0.01,0,0.0,1459,9.69,248,1.65
COMUNA 04,1004000054,15777,556,3.52,745,4.72,8630,54.7,4351,27.58,169,1.07,2,0.01,0,0.0,1070,6.78,254,1.61
COMUNA 04,1004000055,10555,316,2.99,484,4.59,6286,59.55,2380,22.55,112,1.06,0,0.0,4,0.04,858,8.13,115,1.09
COMUNA 04,1004000056,9956,306,3.07,521,5.23,5964,59.9,2205,22.15,91,0.91,0,0.0,0,0.0,758,7.61,111,1.11
COMUNA 04,1004000057,20222,671,3.32,1182,5.85,11166,55.22,5119,25.31,168,0.83,2,0.01,5,0.02,1640,8.11,269,1.33
