NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM5,VOTOS_CF_COM5,PORCENTAJE_CF_COM5
COMUNA 05,1005000058,10786,856,7.94
COMUNA 05,1005000059,10341,806,7.79
COMUNA 05,1005000060,12579,966,7.68
COMUNA 05,1005000061,11661,867,7.44
COMUNA 05,1005000062,8014,553,6.9
COMUNA 05,1005000063,15490,1144,7.39
COMUNA 05,1005000064,16659,1171,7.03
COMUNA 05,1005000065,10473,735,7.02
COMUNA 05,1005000066,10170,734,7.22
COMUNA 05,1005000067,15729,1155,7.34
