NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 13,1013000144,6206,199,3.21
COMUNA 13,1013000145,11891,508,4.27
COMUNA 13,1013000146,8866,374,4.22
COMUNA 13,1013000147,15980,446,2.79
COMUNA 14,1014000148,17184,421,2.45
COMUNA 14,1014000149,19267,422,2.19
COMUNA 14,1014000150,9692,118,1.22
COMUNA 14,1014000151,19469,378,1.94
COMUNA 14,1014000152,14959,381,2.55
COMUNA 14,1014000153,17576,619,3.52
COMUNA 14,1014000154,20312,770,3.79
COMUNA 14,1014000155,18366,692,3.77
COMUNA 14,1014000156,7567,341,4.51
COMUNA 14,1014000157,12392,533,4.3
COMUNA 15,1015000158,15289,710,4.64
COMUNA 15,1015000159,9436,450,4.77
COMUNA 15,1015000160,17775,874,4.92
COMUNA 15,1015000161,15639,759,4.85
COMUNA 15,1015000162,12689,658,5.19
COMUNA 15,1015000163,9538,444,4.66
COMUNA 15,1015000164,8654,455,5.26
COMUNA 15,1015000165,15832,700,4.42
COMUNA 15,1015000166,13176,588,4.46
COMUNA 15,1015000167,10519,456,4.34
