NOMBRE_REGION,P03
COMUNA 01,42.91708555470932
COMUNA 02,47.89890399837629
COMUNA 03,44.11127588581113
COMUNA 04,45.29621401585697
COMUNA 05,45.78891809334375
COMUNA 06,46.89995681977654
COMUNA 07,46.92209517772685
COMUNA 08,40.933118086843365
COMUNA 09,46.88604287090559
COMUNA 10,47.06579208379068
COMUNA 11,47.62117296094845
COMUNA 12,46.7134523503377
COMUNA 13,46.725852407636054
COMUNA 14,45.75250322196887
COMUNA 15,46.3993674778178
