NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM8,VOTOS_NULO_COM8,PORCENTAJE_NULO_COM8
COMUNA 08,1008000087,23462,215,0.92
COMUNA 08,1008000088,14267,187,1.31
COMUNA 08,1008000089,35916,379,1.06
COMUNA 08,1008000090,34111,331,0.97
