NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_BLANCO_COM13,PORCENTAJE_BLANCO_COM13
COMUNA 13,1013000134,6826,560,8.2
COMUNA 13,1013000135,9428,789,8.37
COMUNA 13,1013000136,11643,1088,9.34
COMUNA 13,1013000137,10871,794,7.3
COMUNA 13,1013000138,22202,1743,7.85
COMUNA 13,1013000139,14074,1185,8.42
COMUNA 13,1013000140,6552,614,9.37
COMUNA 13,1013000141,11173,885,7.92
COMUNA 13,1013000142,18591,1236,6.65
COMUNA 13,1013000143,13853,1145,8.27
COMUNA 13,1013000144,6185,476,7.7
COMUNA 13,1013000145,11879,1100,9.26
COMUNA 13,1013000146,8802,802,9.11
COMUNA 13,1013000147,15951,1354,8.49
