NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,PORCENTAJE_FIT_JEFGOB
COMUNA 13,1013000143,13875,436,3.14
COMUNA 13,1013000144,6205,210,3.38
COMUNA 13,1013000145,11878,542,4.56
COMUNA 13,1013000146,8815,373,4.23
COMUNA 13,1013000147,15906,469,2.95
COMUNA 14,1014000148,17019,433,2.54
COMUNA 14,1014000149,19173,429,2.24
COMUNA 14,1014000150,9660,134,1.39
COMUNA 14,1014000151,19176,384,2.0
COMUNA 14,1014000152,15309,395,2.58
COMUNA 14,1014000153,17557,664,3.78
COMUNA 14,1014000154,20138,803,3.99
COMUNA 14,1014000155,18348,729,3.97
COMUNA 14,1014000156,7557,364,4.82
COMUNA 14,1014000157,12382,554,4.47
COMUNA 15,1015000158,15256,744,4.88
COMUNA 15,1015000159,9402,459,4.88
COMUNA 15,1015000160,17753,904,5.09
COMUNA 15,1015000161,15688,794,5.06
COMUNA 15,1015000162,12683,676,5.33
COMUNA 15,1015000163,9836,462,4.7
COMUNA 15,1015000164,8649,491,5.68
COMUNA 15,1015000165,15840,732,4.62
COMUNA 15,1015000166,13172,623,4.73
COMUNA 15,1015000167,10598,464,4.38
