NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM14,VOTOS_IMPUGNADO_COM14,PORCENTAJE_IMPUGNADO_COM14
COMUNA 14,1014000148,17051,1,0.01
COMUNA 14,1014000149,19261,1,0.01
COMUNA 14,1014000150,9680,1,0.01
COMUNA 14,1014000151,19465,3,0.02
COMUNA 14,1014000152,15310,8,0.05
COMUNA 14,1014000153,17560,4,0.02
COMUNA 14,1014000154,20177,22,0.11
COMUNA 14,1014000155,18362,0,0.0
COMUNA 14,1014000156,7548,0,0.0
COMUNA 14,1014000157,12382,1,0.01
