NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM9,VOTOS_FIT_COM9,PORCENTAJE_FIT_COM9
COMUNA 09,1009000091,6709,241,3.59
COMUNA 09,1009000092,10729,524,4.88
COMUNA 09,1009000093,6648,271,4.08
COMUNA 09,1009000094,9223,465,5.04
COMUNA 09,1009000095,15014,645,4.3
COMUNA 09,1009000096,8483,370,4.36
COMUNA 09,1009000097,10987,435,3.96
COMUNA 09,1009000098,16030,611,3.81
COMUNA 09,1009000099,8722,322,3.69
COMUNA 09,1009000100,11109,435,3.92
COMUNA 09,1009000101,13413,551,4.11
