NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM9,VOTOS_FIT_COM9,PORCENTAJE_FIT_COM9,VOTOS_CF_COM9,PORCENTAJE_CF_COM9,VOTOS_FDT_COM9,PORCENTAJE_FDT_COM9,VOTOS_JXC_COM9,PORCENTAJE_JXC_COM9,VOTOS_NULO_COM9,PORCENTAJE_NULO_COM9,VOTOS_RECURRIDO_COM9,PORCENTAJE_RECURRIDO_COM9,VOTOS_IMPUGNADO_COM9,PORCENTAJE_IMPUGNADO_COM9,VOTOS_BLANCO_COM9,PORCENTAJE_BLANCO_COM9,VOTOS_OTROS_COM9,PORCENTAJE_OTROS_COM9
COMUNA 09,1009000091,6709,241,3.59,352,5.25,3621,53.97,1424,21.23,74,1.1,1,0.01,0,0.0,686,10.23,310,4.62
COMUNA 09,1009000092,10729,524,4.88,874,8.15,3761,35.05,3983,37.12,137,1.28,8,0.07,0,0.0,833,7.76,609,5.68
COMUNA 09,1009000093,6648,271,4.08,541,8.14,2616,39.35,2323,34.94,76,1.14,1,0.02,0,0.0,508,7.64,312,4.69
COMUNA 09,1009000094,9223,465,5.04,727,7.88,3771,40.89,3111,33.73,104,1.13,5,0.05,0,0.0,602,6.53,438,4.75
COMUNA 09,1009000095,15014,645,4.3,1238,8.25,5472,36.45,5730,38.16,179,1.19,0,0.0,0,0.0,952,6.34,798,5.32
COMUNA 09,1009000096,8483,370,4.36,743,8.76,3367,39.69,2872,33.86,72,0.85,0,0.0,0,0.0,663,7.82,396,4.67
COMUNA 09,1009000097,10987,435,3.96,829,7.55,4568,41.58,3712,33.79,97,0.88,1,0.01,2,0.02,838,7.63,505,4.6
COMUNA 09,1009000098,16030,611,3.81,1581,9.86,5576,34.78,6397,39.91,120,0.75,6,0.04,1,0.01,910,5.68,828,5.17
COMUNA 09,1009000099,8722,322,3.69,881,10.1,2727,31.27,3769,43.21,79,0.91,3,0.03,0,0.0,530,6.08,411,4.71
COMUNA 09,1009000100,11109,435,3.92,994,8.95,3503,31.53,4739,42.66,99,0.89,2,0.02,2,0.02,791,7.12,544,4.9
COMUNA 09,1009000101,13413,551,4.11,1134,8.45,4422,32.97,5627,41.95,140,1.04,6,0.04,30,0.22,851,6.34,652,4.86
