NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,PORCENTAJE_IMPUGNADO_DIPNAC
COMUNA 13,1013000143,13915,0,0.0
COMUNA 13,1013000144,6201,0,0.0
COMUNA 13,1013000145,11900,1,0.01
COMUNA 13,1013000146,8724,0,0.0
COMUNA 13,1013000147,16001,1,0.01
COMUNA 14,1014000148,17107,1,0.01
COMUNA 14,1014000149,19245,1,0.01
COMUNA 14,1014000150,9688,1,0.01
COMUNA 14,1014000151,19475,3,0.02
COMUNA 14,1014000152,15096,8,0.05
COMUNA 14,1014000153,17650,4,0.02
COMUNA 14,1014000154,20244,2,0.01
COMUNA 14,1014000155,18373,0,0.0
COMUNA 14,1014000156,7586,0,0.0
COMUNA 14,1014000157,12399,1,0.01
COMUNA 15,1015000158,15275,0,0.0
COMUNA 15,1015000159,9413,0,0.0
COMUNA 15,1015000160,17770,1,0.01
COMUNA 15,1015000161,15642,3,0.02
COMUNA 15,1015000162,12685,3,0.02
COMUNA 15,1015000163,9521,2,0.02
COMUNA 15,1015000164,8653,0,0.0
COMUNA 15,1015000165,15825,9,0.06
COMUNA 15,1015000166,13177,0,0.0
COMUNA 15,1015000167,10606,0,0.0
