NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_JXC_COM1,PORCENTAJE_JXC_COM1
COMUNA 01,1001000001,7437,2803,37.69
COMUNA 01,1001000002,6581,2321,35.27
COMUNA 01,1001000003,3356,2505,74.64
COMUNA 01,1001000005,5922,950,16.04
COMUNA 01,1001000006,11082,8215,74.13
COMUNA 01,1001000007,5321,3477,65.34
COMUNA 01,1001000008,5680,3326,58.56
COMUNA 01,1001000009,7299,3907,53.53
COMUNA 01,1001000010,8173,4186,51.22
COMUNA 01,1001000011,8193,3423,41.78
COMUNA 01,1001000012,7724,3227,41.78
COMUNA 01,1001000013,8806,3505,39.8
COMUNA 01,1001000014,3518,1525,43.35
COMUNA 01,1001000015,5805,2039,35.12
COMUNA 01,1001000016,5927,2240,37.79
COMUNA 01,1001000017,8777,3154,35.93
COMUNA 01,1001000018,4783,1593,33.31
COMUNA 01,1001000019,7831,2560,32.69
