NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_FDT_DIPNAC,PORCENTAJE_FDT_DIPNAC
COMUNA 13,1013000137,10995,2673,24.31
COMUNA 13,1013000138,22381,4384,19.59
COMUNA 13,1013000139,14109,2589,18.35
COMUNA 13,1013000140,6545,1476,22.55
COMUNA 13,1013000141,11224,2311,20.59
COMUNA 13,1013000142,18655,2019,10.82
COMUNA 13,1013000143,13915,2543,18.28
COMUNA 13,1013000144,6201,1011,16.3
COMUNA 13,1013000145,11900,3157,26.53
COMUNA 13,1013000146,8724,2696,30.9
COMUNA 13,1013000147,16001,3038,18.99
COMUNA 14,1014000148,17107,2707,15.82
COMUNA 14,1014000149,19245,2974,15.45
COMUNA 14,1014000150,9688,903,9.32
COMUNA 14,1014000151,19475,2951,15.15
COMUNA 14,1014000152,15096,2566,17.0
COMUNA 14,1014000153,17650,4079,23.11
COMUNA 14,1014000154,20244,5384,26.6
COMUNA 14,1014000155,18373,5289,28.79
COMUNA 14,1014000156,7586,2436,32.11
COMUNA 14,1014000157,12399,4006,32.31
COMUNA 15,1015000158,15275,4858,31.8
COMUNA 15,1015000159,9413,3326,35.33
COMUNA 15,1015000160,17770,5573,31.36
COMUNA 15,1015000161,15642,5344,34.16
COMUNA 15,1015000162,12685,4989,39.33
COMUNA 15,1015000163,9521,3846,40.39
COMUNA 15,1015000164,8653,3077,35.56
COMUNA 15,1015000165,15825,5026,31.76
COMUNA 15,1015000166,13177,4554,34.56
COMUNA 15,1015000167,10606,3195,30.12
