NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM2,VOTOS_BLANCO_COM2,PORCENTAJE_BLANCO_COM2
COMUNA 02,1002000020,6931,502,7.24
COMUNA 02,1002000021,8068,542,6.72
COMUNA 02,1002000022,11853,975,8.23
COMUNA 02,1002000023,14732,1109,7.53
COMUNA 02,1002000024,9629,614,6.38
COMUNA 02,1002000025,9404,681,7.24
COMUNA 02,1002000026,12209,874,7.16
COMUNA 02,1002000027,9253,741,8.01
COMUNA 02,1002000028,13158,1099,8.35
COMUNA 02,1002000029,8608,708,8.22
