NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM5,VOTOS_FIT_COM5,PORCENTAJE_FIT_COM5,VOTOS_CF_COM5,PORCENTAJE_CF_COM5,VOTOS_FDT_COM5,PORCENTAJE_FDT_COM5,VOTOS_JXC_COM5,PORCENTAJE_JXC_COM5,VOTOS_NULO_COM5,PORCENTAJE_NULO_COM5,VOTOS_RECURRIDO_COM5,PORCENTAJE_RECURRIDO_COM5,VOTOS_IMPUGNADO_COM5,PORCENTAJE_IMPUGNADO_COM5,VOTOS_BLANCO_COM5,PORCENTAJE_BLANCO_COM5,VOTOS_OTROS_COM5,PORCENTAJE_OTROS_COM5
COMUNA 05,1005000058,10786,573,5.31,856,7.94,4073,37.76,3921,36.35,115,1.07,1,0.01,0,0.0,1044,9.68,203,1.88
COMUNA 05,1005000059,10341,600,5.8,806,7.79,3919,37.9,3704,35.82,86,0.83,2,0.02,0,0.0,1051,10.16,173,1.67
COMUNA 05,1005000060,12579,691,5.49,966,7.68,4504,35.81,4784,38.03,119,0.95,3,0.02,0,0.0,1275,10.14,237,1.88
COMUNA 05,1005000061,11661,554,4.75,867,7.44,3620,31.04,5272,45.21,79,0.68,6,0.05,0,0.0,1031,8.84,232,1.99
COMUNA 05,1005000062,8014,418,5.22,553,6.9,2868,35.79,3095,38.62,64,0.8,3,0.04,2,0.02,847,10.57,164,2.05
COMUNA 05,1005000063,15490,853,5.51,1144,7.39,5011,32.35,6571,42.42,115,0.74,8,0.05,4,0.03,1514,9.77,270,1.74
COMUNA 05,1005000064,16659,838,5.03,1171,7.03,5610,33.68,7040,42.26,147,0.88,2,0.01,2,0.01,1547,9.29,302,1.81
COMUNA 05,1005000065,10473,565,5.39,735,7.02,3444,32.88,4515,43.11,94,0.9,9,0.09,1,0.01,919,8.77,191,1.82
COMUNA 05,1005000066,10170,579,5.69,734,7.22,3376,33.2,4237,41.66,105,1.03,3,0.03,0,0.0,942,9.26,194,1.91
COMUNA 05,1005000067,15729,918,5.84,1155,7.34,5174,32.89,6611,42.03,119,0.76,2,0.01,7,0.04,1471,9.35,272,1.73
