NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_FDT_COM3,PORCENTAJE_FDT_COM3
COMUNA 03,1003000030,7953,2295,28.86
COMUNA 03,1003000031,8906,2552,28.65
COMUNA 03,1003000032,7975,2407,30.18
COMUNA 03,1003000033,6284,2091,33.27
COMUNA 03,1003000034,9989,3261,32.65
COMUNA 03,1003000035,9281,3464,37.32
COMUNA 03,1003000036,6246,2547,40.78
COMUNA 03,1003000037,8255,3060,37.07
COMUNA 03,1003000038,9021,3350,37.14
COMUNA 03,1003000039,9468,3306,34.92
COMUNA 03,1003000040,7368,2587,35.11
COMUNA 03,1003000041,13698,5236,38.22
COMUNA 03,1003000042,12464,4642,37.24
