NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM2,VOTOS_JXC_COM2,PORCENTAJE_JXC_COM2
COMUNA 02,1002000020,6931,4439,64.05
COMUNA 02,1002000021,8068,6026,74.69
COMUNA 02,1002000022,11853,7254,61.2
COMUNA 02,1002000023,14732,8996,61.06
COMUNA 02,1002000024,9629,6272,65.14
COMUNA 02,1002000025,9404,6392,67.97
COMUNA 02,1002000026,12209,8506,69.67
COMUNA 02,1002000027,9253,5309,57.38
COMUNA 02,1002000028,13158,7124,54.14
COMUNA 02,1002000029,8608,4607,53.52
