NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM2,VOTOS_NULO_COM2,PORCENTAJE_NULO_COM2
COMUNA 02,1002000020,6931,52,0.75
COMUNA 02,1002000021,8068,35,0.43
COMUNA 02,1002000022,11853,74,0.62
COMUNA 02,1002000023,14732,87,0.59
COMUNA 02,1002000024,9629,42,0.44
COMUNA 02,1002000025,9404,45,0.48
COMUNA 02,1002000026,12209,70,0.57
COMUNA 02,1002000027,9253,85,0.92
COMUNA 02,1002000028,13158,96,0.73
COMUNA 02,1002000029,8608,65,0.76
