NOMBRE_REGION,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES,VOTOS_CF_PRES,PORCENTAJE_CF_PRES,VOTOS_FDT_PRES,PORCENTAJE_FDT_PRES,VOTOS_JXC_PRES,PORCENTAJE_JXC_PRES,VOTOS_NOS_PRES,PORCENTAJE_NOS_PRES,VOTOS_ULD_PRES,PORCENTAJE_ULD_PRES,VOTOS_NULO_PRES,PORCENTAJE_NULO_PRES,VOTOS_RECURRIDO_PRES,PORCENTAJE_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,PORCENTAJE_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,PORCENTAJE_BLANCO_PRES,VOTOS_OTROS_PRES,PORCENTAJE_OTROS_PRES
COMUNA 14,COMUNA 14,1014000152,14959,381,2.55,903,6.04,2737,18.3,9637,64.42,132,0.88,510,3.41,95,0.64,6,0.04,8,0.05,386,2.58,164,1.1
COMUNA 14,COMUNA 14,1014000153,17576,619,3.52,1341,7.63,4435,25.23,9473,53.9,185,1.05,592,3.37,151,0.86,5,0.03,4,0.02,477,2.71,294,1.67
COMUNA 14,COMUNA 14,1014000154,20312,770,3.79,1553,7.65,5746,28.29,10239,50.41,175,0.86,693,3.41,225,1.11,5,0.02,2,0.01,604,2.97,300,1.48
COMUNA 14,COMUNA 14,1014000155,18366,692,3.77,1465,7.98,5643,30.73,8774,47.77,250,1.36,575,3.13,174,0.95,2,0.01,0,0.0,511,2.78,280,1.52
COMUNA 14,COMUNA 14,1014000156,7567,341,4.51,662,8.75,2644,34.94,3161,41.77,71,0.94,263,3.48,74,0.98,0,0.0,0,0.0,241,3.18,110,1.45
COMUNA 14,COMUNA 14,1014000157,12392,533,4.3,1026,8.28,4228,34.12,5332,43.03,106,0.86,421,3.4,114,0.92,3,0.02,1,0.01,414,3.34,214,1.73
COMUNA 15,COMUNA 15,1015000158,15289,710,4.64,1375,8.99,5309,34.72,6189,40.48,110,0.72,507,3.32,189,1.24,7,0.05,0,0.0,592,3.87,301,1.97
COMUNA 15,COMUNA 15,1015000159,9436,450,4.77,823,8.72,3581,37.95,3662,38.81,89,0.94,287,3.04,86,0.91,1,0.01,0,0.0,285,3.02,172,1.82
COMUNA 15,COMUNA 15,1015000160,17775,874,4.92,1651,9.29,6088,34.25,7269,40.89,126,0.71,579,3.26,182,1.02,8,0.05,1,0.01,667,3.75,330,1.86
COMUNA 15,COMUNA 15,1015000161,15639,759,4.85,1463,9.35,5785,36.99,5974,38.2,126,0.81,520,3.33,146,0.93,6,0.04,3,0.02,571,3.65,286,1.83
COMUNA 15,COMUNA 15,1015000162,12689,658,5.19,1107,8.72,5324,41.96,4299,33.88,119,0.94,402,3.17,117,0.92,6,0.05,2,0.02,417,3.29,238,1.88
COMUNA 15,COMUNA 15,1015000163,9538,444,4.66,737,7.73,4095,42.93,3291,34.5,73,0.77,252,2.64,75,0.79,3,0.03,1,0.01,369,3.87,198,2.08
COMUNA 15,COMUNA 15,1015000164,8654,455,5.26,660,7.63,3329,38.47,3225,37.27,78,0.9,262,3.03,154,1.78,6,0.07,0,0.0,340,3.93,145,1.68
COMUNA 15,COMUNA 15,1015000165,15832,700,4.42,1396,8.82,5412,34.18,6670,42.13,143,0.9,552,3.49,164,1.04,11,0.07,9,0.06,532,3.36,243,1.53
COMUNA 15,COMUNA 15,1015000166,13176,588,4.46,1204,9.14,4893,37.14,5191,39.4,117,0.89,470,3.57,133,1.01,9,0.07,0,0.0,370,2.81,201,1.53
COMUNA 15,COMUNA 15,1015000167,10519,456,4.34,1072,10.19,3317,31.53,4574,43.48,93,0.88,372,3.54,112,1.06,4,0.04,0,0.0,366,3.48,153,1.45
