NOMBRE_REGION,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,VOTOS_CF_PRES,VOTOS_FDT_PRES,VOTOS_JXC_PRES,VOTOS_NOS_PRES,VOTOS_ULD_PRES,VOTOS_NULO_PRES,VOTOS_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,VOTOS_OTROS_PRES
COMUNA 05,COMUNA 05,1005000064,16707,754,1445,5926,6911,173,541,164,2,2,492,297
COMUNA 05,COMUNA 05,1005000065,10511,508,897,3636,4403,123,337,112,9,1,303,182
COMUNA 05,COMUNA 05,1005000066,10201,490,900,3560,4134,116,402,104,3,0,308,184
COMUNA 05,COMUNA 05,1005000067,15739,785,1424,5478,6425,114,532,149,2,6,511,313
COMUNA 06,COMUNA 06,1006000068,15756,732,1504,5312,6575,121,547,151,9,0,501,304
COMUNA 06,COMUNA 06,1006000069,22541,820,2095,6101,11308,164,846,197,11,2,666,331
COMUNA 06,COMUNA 06,1006000070,20657,886,1950,6630,9052,170,740,191,5,0,668,365
COMUNA 06,COMUNA 06,1006000071,24706,915,2238,7046,11937,202,966,225,4,1,762,410
COMUNA 06,COMUNA 06,1006000072,10797,533,1094,3805,4115,127,425,135,5,3,336,219
COMUNA 06,COMUNA 06,1006000073,13841,670,1347,4644,5739,113,471,143,4,0,472,238
COMUNA 06,COMUNA 06,1006000074,19296,692,1843,5010,9724,187,764,157,2,3,563,351
COMUNA 07,COMUNA 07,1007000075,8290,310,853,2729,3512,62,339,80,3,3,246,153
COMUNA 07,COMUNA 07,1007000076,13226,509,1365,4522,5451,119,543,129,5,1,366,216
COMUNA 07,COMUNA 07,1007000077,10301,417,1041,4044,3636,93,428,87,2,13,356,184
COMUNA 07,COMUNA 07,1007000078,8198,280,751,3228,3008,87,302,99,5,0,282,156
COMUNA 07,COMUNA 07,1007000079,10081,416,903,3253,4428,136,327,79,3,25,363,148
COMUNA 07,COMUNA 07,1007000080,10634,461,1107,3357,4483,84,468,100,2,5,373,194
COMUNA 07,COMUNA 07,1007000081,9812,404,928,3029,4396,105,330,107,13,0,308,192
COMUNA 07,COMUNA 07,1007000082,11311,451,1057,3704,4832,127,439,94,6,2,411,188
COMUNA 07,COMUNA 07,1007000083,16294,558,1586,4286,8093,176,663,151,7,1,497,276
COMUNA 07,COMUNA 07,1007000084,8846,342,955,3102,3437,108,347,104,0,0,292,159
COMUNA 07,COMUNA 07,1007000085,6089,218,722,1819,2656,44,264,64,1,0,195,106
COMUNA 07,COMUNA 07,1007000086,21039,881,1504,10828,5319,303,649,231,5,5,942,372
COMUNA 08,COMUNA 08,1008000087,23153,820,1392,13195,5405,248,546,263,22,17,916,329
COMUNA 08,COMUNA 08,1008000088,13116,485,1278,4785,5092,167,465,182,0,0,472,190
COMUNA 08,COMUNA 08,1008000089,36250,1434,2892,16874,11281,533,992,428,6,1,1278,531
COMUNA 08,COMUNA 08,1008000090,34601,1279,2735,16949,10070,473,961,373,17,50,1126,568
COMUNA 09,COMUNA 09,1009000091,6731,246,405,3885,1406,127,215,86,1,0,283,77
COMUNA 09,COMUNA 09,1009000092,10706,489,1069,3956,3911,152,464,135,6,0,338,186
COMUNA 09,COMUNA 09,1009000093,6695,254,646,2752,2292,64,220,83,2,0,258,124
COMUNA 09,COMUNA 09,1009000094,8441,380,844,3345,2937,97,310,88,0,0,297,143
COMUNA 09,COMUNA 09,1009000095,15018,621,1545,5633,5581,167,572,194,0,0,437,268
COMUNA 09,COMUNA 09,1009000096,8485,367,881,3498,2816,100,292,86,0,0,303,142
COMUNA 09,COMUNA 09,1009000097,10997,426,991,4780,3630,154,354,103,1,2,380,176
COMUNA 09,COMUNA 09,1009000098,16240,568,1901,5873,6194,158,665,156,11,1,454,259
COMUNA 09,COMUNA 09,1009000099,8796,310,1060,2867,3680,110,318,82,3,0,248,118
COMUNA 09,COMUNA 09,1009000100,11076,403,1223,3559,4625,120,456,90,2,3,434,161
COMUNA 09,COMUNA 09,1009000101,13447,504,1434,4649,5432,146,489,150,2,24,386,231
COMUNA 10,COMUNA 10,1010000102,10509,436,1188,3197,4472,132,451,112,2,0,359,160
COMUNA 10,COMUNA 10,1010000103,10289,409,1137,3268,4241,191,382,133,3,1,349,175
COMUNA 10,COMUNA 10,1010000104,10113,414,1137,3544,3847,127,340,138,0,0,385,181
COMUNA 10,COMUNA 10,1010000105,14873,627,1575,4901,6171,169,531,166,19,4,461,249
COMUNA 10,COMUNA 10,1010000106,9278,404,1036,3120,3643,122,323,119,17,2,316,176
COMUNA 10,COMUNA 10,1010000107,15517,637,1624,5380,6207,169,583,169,7,0,459,282
COMUNA 10,COMUNA 10,1010000108,9711,470,980,3393,3751,82,372,106,4,12,370,171
COMUNA 10,COMUNA 10,1010000109,15192,738,1500,5238,5987,205,519,159,6,2,576,262
COMUNA 10,COMUNA 10,1010000110,8071,337,881,3084,2932,89,285,95,5,0,201,162
COMUNA 10,COMUNA 10,1010000111,8598,390,878,2963,3361,101,323,81,2,2,347,150
COMUNA 10,COMUNA 10,1010000112,6582,286,669,2390,2459,90,258,84,3,0,208,135
COMUNA 11,COMUNA 11,1011000113,10248,458,1097,3504,4036,87,415,107,5,0,348,191
COMUNA 11,COMUNA 11,1011000114,13509,560,1402,4667,5400,123,499,151,3,1,469,234
COMUNA 11,COMUNA 11,1011000115,9425,440,941,3580,3440,92,349,120,2,0,291,170
COMUNA 11,COMUNA 11,1011000116,13646,615,1355,5051,5146,168,499,148,7,2,416,239
COMUNA 11,COMUNA 11,1011000117,14829,640,1521,4875,6185,146,525,182,3,0,503,249
COMUNA 11,COMUNA 11,1011000118,11656,446,1164,3389,5398,123,441,106,2,0,399,188
COMUNA 11,COMUNA 11,1011000119,14519,539,1562,4361,6579,150,510,138,6,0,441,233
COMUNA 11,COMUNA 11,1011000120,15266,579,1645,4175,7126,219,654,187,1,4,429,247
COMUNA 11,COMUNA 11,1011000121,12467,460,1393,3636,5535,209,495,144,2,1,403,189
COMUNA 11,COMUNA 11,1011000122,10589,282,896,2278,6016,102,448,125,3,0,281,158
COMUNA 11,COMUNA 11,1011000123,11582,442,1277,3272,5240,127,494,133,8,13,383,193
COMUNA 12,COMUNA 12,1012000124,13349,544,1291,4745,5300,185,500,144,2,0,424,214
COMUNA 12,COMUNA 12,1012000125,17581,727,1832,5447,7697,170,634,189,6,4,544,331
COMUNA 12,COMUNA 12,1012000126,14680,652,1496,4700,6206,173,543,148,2,3,497,260
COMUNA 12,COMUNA 12,1012000127,19338,672,1895,4800,10053,169,764,174,7,3,524,277
COMUNA 12,COMUNA 12,1012000128,15923,686,1672,4812,7057,127,648,143,0,0,501,277
COMUNA 12,COMUNA 12,1012000129,20511,831,1854,5891,9682,239,806,212,5,0,670,321
COMUNA 12,COMUNA 12,1012000130,13885,553,1207,4117,6485,124,552,128,3,3,490,223
COMUNA 12,COMUNA 12,1012000131,4523,191,455,1343,2036,58,176,41,0,3,140,80
COMUNA 12,COMUNA 12,1012000132,15977,673,1468,5242,6851,212,628,189,5,11,474,224
COMUNA 12,COMUNA 12,1012000133,16392,651,1644,4696,7691,164,651,159,3,0,456,277
COMUNA 13,COMUNA 13,1013000134,6838,249,577,1554,3770,74,267,72,0,0,182,93
COMUNA 13,COMUNA 13,1013000135,9470,277,768,2146,5340,62,396,79,1,0,258,143
COMUNA 13,COMUNA 13,1013000136,11514,487,961,2859,5983,139,411,91,2,5,415,161
COMUNA 13,COMUNA 13,1013000137,11092,429,1066,2830,5648,138,401,109,0,4,302,165
COMUNA 13,COMUNA 13,1013000138,22404,740,1831,4681,12916,267,838,205,5,0,605,316
COMUNA 13,COMUNA 13,1013000139,14138,451,1102,2754,8399,173,516,115,6,1,435,186
